thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,slider_4.response,slider_4.rt,key_resp_5.keys,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fix.stopped,fixation.stopped,practice_trials.started,textbox_4.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,feedback.started,textbox_2.started,feedback.stopped,textbox_2.stopped,new_ui.started,new_ui.stopped,practice_trials_2.started,prog_3.started,greenbar_3.started,yellowbar_3.started,redbar_3.started,arrow_3.started,textbox_5.started,slider_4.started,key_resp_5.started,practice_trials_2.stopped,prac_trial2.slider_4.response,prac_trial2.slider_4.rt,prac_trial2.key_resp_5.keys,training_routine_1.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.024015426635742188,0.03490400314331055,0.03490400314331055,0.5555305480957031,l,0.5112707614898682,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_17h59.26.056,misty_module,,2025.2.3,59.994650364104224,2026-01-29 17h59.27.537009 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5555965900421143,0.5681746006011963,0.5681746006011963,1.0549943447113037,space,0.48171186447143555,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_17h59.26.056,misty_module,,2025.2.3,59.994650364104224,2026-01-29 17h59.27.537009 +0000,
0,0,0,9,3.3846263885498047,None,,,,0,0,0,0,,,,,,,,,1.0680341720581055,,,,,,,,,,,,,,,,,,,,,,1.055856466293335,1.0680341720581055,1.617175817489624,1.5552396774291992,1.5712206363677979,1.617175817489624,1.617175817489624,1.617175817489624,4.987688302993774,9,3.3846263885498047,None,4.988265037536621,5.0016350746154785,5.988112926483154,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_17h59.26.056,misty_module,,2025.2.3,59.994650364104224,2026-01-29 17h59.27.537009 +0000,
1,0,1,1,2.7100672721862793,None,,,,1,0,1,0,,,,,,,,,6.001617193222046,,,,,,,,,,,,,,,,,,,,,,5.988316774368286,6.001617193222046,6.533792495727539,6.487952947616577,6.495599985122681,6.533792495727539,6.533792495727539,6.533792495727539,9.238470077514648,1,2.7100672721862793,None,9.239182233810425,9.251595973968506,10.238682746887207,10.25158143043518,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_17h59.26.056,misty_module,,2025.2.3,59.994650364104224,2026-01-29 17h59.27.537009 +0000,
2,0,2,4,1.6077370643615723,None,,,,2,0,2,0,,,,,,,,,10.25158143043518,,,,,,,,,,,,,,,,,,,,,,10.238891363143921,10.25158143043518,10.783758163452148,10.738692283630371,10.747902631759644,10.783758163452148,10.783758163452148,10.783758163452148,12.387034177780151,4,1.6077370643615723,None,12.387436628341675,12.4015212059021,13.387418985366821,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_17h59.26.056,misty_module,,2025.2.3,59.994650364104224,2026-01-29 17h59.27.537009 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.387551307678223,13.387657642364502,,,,,,,,,,,,,,,pilot,001,2026-01-29_17h59.26.056,misty_module,,2025.2.3,59.994650364104224,2026-01-29 17h59.27.537009 +0000,
0,0,0,,,,1,4.383577585220337,None,,,,,0,0,0,0,,,,,13.401511669158936,,,,,,,,,,,,,,,,,,,,,,13.388095378875732,13.401511669158936,13.967028856277466,13.887494087219238,,,,,,,,,18.317074060440063,18.333651542663574,19.320520877838135,,,,13.889767169952393,13.967028856277466,13.967028856277466,13.967028856277466,13.967028856277466,13.967028856277466,13.967028856277466,13.967028856277466,13.967028856277466,18.304662704467773,1,4.383577585220337,None,,pilot,001,2026-01-29_17h59.26.056,misty_module,,2025.2.3,59.994650364104224,2026-01-29 17h59.27.537009 +0000,
1,0,1,,,,3,3.66420578956604,None,,,,,1,0,1,0,,,,,19.334601640701294,,,,,,,,,,,,,,,,,,,,,,19.320741653442383,19.334601640701294,,19.820472955703735,,,,,,,,,23.521275758743286,23.534716367721558,24.52116847038269,,,,19.825799226760864,19.866946697235107,19.866946697235107,19.866946697235107,19.866946697235107,19.866946697235107,19.866946697235107,19.866946697235107,19.866946697235107,23.52060341835022,3,3.66420578956604,None,,pilot,001,2026-01-29_17h59.26.056,misty_module,,2025.2.3,59.994650364104224,2026-01-29 17h59.27.537009 +0000,
2,0,2,,,,1,3.050529956817627,None,,,,,2,0,2,0,,,,,24.534703493118286,,,,,,,,,,,,,,,,,,,,,,24.521328449249268,24.534703493118286,25.050205945968628,25.02067995071411,,,,,,,,,28.105005025863647,28.11802887916565,29.104535341262817,,,,25.02291440963745,25.050205945968628,25.050205945968628,25.050205945968628,25.050205945968628,25.050205945968628,25.050205945968628,25.050205945968628,25.050205945968628,28.104267597198486,1,3.050529956817627,None,,pilot,001,2026-01-29_17h59.26.056,misty_module,,2025.2.3,59.994650364104224,2026-01-29 17h59.27.537009 +0000,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,29.117982149124146,,,,,,,,,,,,,,,,,,,,,,29.109846353530884,29.117982149124146,,29.60467767715454,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.606814861297607,,,,,,,,,
