thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,slider_4.response,slider_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,train_diff,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fix.stopped,fixation.stopped,practice_trials.started,textbox_4.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,textbox_2.started,feedback.stopped,new_ui.started,text_2.started,new_ui.stopped,practice_trials_2.started,prog_3.started,greenbar_3.started,yellowbar_3.started,redbar_3.started,arrow_3.started,textbox_5.started,slider_4.started,key_resp_5.started,practice_trials_2.stopped,prac_trial2.slider_4.response,prac_trial2.slider_4.rt,prac_trial2.key_resp_5.keys,prac_trial2.key_resp_5.rt,prac_trial2.key_resp_5.duration,textbox_2.stopped,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017475605010986328,0.029357433319091797,0.029357433319091797,0.7821698188781738,l,0.7413184642791748,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_18h17.33.819,misty_module,,2025.2.3,59.992934105527844,2026-01-29 18h17.34.987864 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7822103500366211,0.7960672378540039,0.7960672378540039,1.3321857452392578,space,0.5244889259338379,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_18h17.33.819,misty_module,,2025.2.3,59.992934105527844,2026-01-29 18h17.34.987864 +0000,
0,0,0,None,None,6,1.23337984085083,None,,,,,,,0,0,0,0,,,,,,,,,,,,,1.3459007740020752,,,,,,,,,,,,,,,,,,,,,,1.3326184749603271,1.3459007740020752,1.8782858848571777,1.831935167312622,1.8420147895812988,1.8782858848571777,1.8782858848571777,1.8782858848571777,3.1149628162384033,None,None,6,1.23337984085083,None,3.115356683731079,3.12935471534729,4.115171194076538,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_18h17.33.819,misty_module,,2025.2.3,59.992934105527844,2026-01-29 18h17.34.987864 +0000,
1,0,1,None,None,2,2.001922607421875,None,,,,,,,1,0,1,0,,,,,,,,,,,,,4.129339694976807,,,,,,,,,,,,,,,,,,,,,,4.1154375076293945,4.129339694976807,,4.615171909332275,4.621330738067627,4.644928216934204,4.644928216934204,4.644928216934204,6.648289442062378,None,None,2,2.001922607421875,None,6.648692846298218,6.6627795696258545,7.648606538772583,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_18h17.33.819,misty_module,,2025.2.3,59.992934105527844,2026-01-29 18h17.34.987864 +0000,
2,0,2,None,None,9,1.2097272872924805,None,,,,,,,2,0,2,0,,,,,,,,,,,,,7.662785053253174,,,,,,,,,,,,,,,,,,,,,,7.648770332336426,7.662785053253174,,8.148654699325562,8.153812646865845,8.178242206573486,8.178242206573486,8.178242206573486,9.414960384368896,None,None,9,1.2097272872924805,None,9.415386438369751,9.429413557052612,10.41520357131958,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_18h17.33.819,misty_module,,2025.2.3,59.992934105527844,2026-01-29 18h17.34.987864 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.415345907211304,10.429408311843872,20.415185689926147,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_18h17.33.819,misty_module,,2025.2.3,59.992934105527844,2026-01-29 18h17.34.987864 +0000,
0,0,0,,,,,,None,None,6,2.2580156326293945,None,,,,,,0,0,0,0,,,,,,,,,20.429272651672363,,,,,,,,,,,,,,,,,,,,,,20.416002988815308,20.429272651672363,,20.915094137191772,,,,,,,,,,,23.240392446517944,23.26136565208435,24.24840545654297,,,,20.917585849761963,20.961408138275146,20.961408138275146,20.961408138275146,20.961408138275146,20.961408138275146,20.961408138275146,20.961408138275146,20.961408138275146,23.231617212295532,None,None,6,2.2580156326293945,None,,,,,,pilot,001,2026-01-29_18h17.33.819,misty_module,,2025.2.3,59.992934105527844,2026-01-29 18h17.34.987864 +0000,
1,0,1,,,,,,None,None,8,2.248154878616333,None,,,,,,1,0,1,0,,,,,,,,,24.2625412940979,,,,,,,,,,,,,,,,,,,,,,24.248610496520996,24.2625412940979,,24.731771230697632,,,,,,,,,,,27.032185316085815,27.045846700668335,28.03170919418335,,,,24.73378896713257,24.76135540008545,24.76135540008545,24.76135540008545,24.76135540008545,24.76135540008545,24.76135540008545,24.76135540008545,24.76135540008545,27.03148055076599,None,None,8,2.248154878616333,None,,,,,,pilot,001,2026-01-29_18h17.33.819,misty_module,,2025.2.3,59.992934105527844,2026-01-29 18h17.34.987864 +0000,
2,0,2,,,,,,None,None,9,2.517244577407837,None,,,,,,2,0,2,0,,,,,,,,,28.045830726623535,,,,,,,,,,,,,,,,,,,,,,28.03187394142151,28.045830726623535,,28.53162980079651,,,,,,,,,,,31.098894119262695,31.112448930740356,32.098424673080444,,,,28.536563634872437,28.5613055229187,28.5613055229187,28.5613055229187,28.5613055229187,28.5613055229187,28.5613055229187,28.5613055229187,28.5613055229187,31.09818935394287,None,None,9,2.517244577407837,None,32.112447023391724,,,,,pilot,001,2026-01-29_18h17.33.819,misty_module,,2025.2.3,59.992934105527844,2026-01-29 18h17.34.987864 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.098536014556885,32.112447023391724,37.127854108810425,37.09834384918213,pilot,001,2026-01-29_18h17.33.819,misty_module,,2025.2.3,59.992934105527844,2026-01-29 18h17.34.987864 +0000,
