thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,slider_4.response,slider_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,train_diff,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fix.stopped,fixation.stopped,practice_trials.started,textbox_4.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,textbox_2.started,textbox_2.stopped,feedback.stopped,new_ui.started,text_2.started,new_ui.stopped,practice_trials_2.started,prog_3.started,greenbar_3.started,yellowbar_3.started,redbar_3.started,arrow_3.started,textbox_5.started,slider_4.started,key_resp_5.started,practice_trials_2.stopped,prac_trial2.slider_4.response,prac_trial2.slider_4.rt,prac_trial2.key_resp_5.keys,prac_trial2.key_resp_5.rt,prac_trial2.key_resp_5.duration,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022795438766479492,0.03282523155212402,0.03282523155212402,1.9355249404907227,l,1.8911888599395752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_18h24.47.744,misty_module,,2025.2.3,59.99653836195859,2026-01-29 18h24.48.850410 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9355783462524414,1.9495034217834473,1.9495034217834473,2.468841314315796,space,0.5034401416778564,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_18h24.47.744,misty_module,,2025.2.3,59.99653836195859,2026-01-29 18h24.48.850410 +0000,
0,0,0,None,None,3,2.1580252647399902,None,,,,,,,0,0,0,0,,,,,,,,,,,,,2.4826767444610596,,,,,,,,,,,,,,,,,,,,,,2.469404935836792,2.4826767444610596,3.0150716304779053,2.9686973094940186,2.9781761169433594,3.0150716304779053,3.0150716304779053,3.0150716304779053,5.1852805614471436,None,None,3,2.1580252647399902,None,5.185798168182373,5.199590444564819,6.199402570724487,6.185295820236206,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_18h24.47.744,misty_module,,2025.2.3,59.99653836195859,2026-01-29 18h24.48.850410 +0000,
1,0,1,None,None,6,1.5024282932281494,None,,,,,,,1,0,1,0,,,,,,,,,,,,,6.199402570724487,,,,,,,,,,,,,,,,,,,,,,6.185460567474365,6.199402570724487,6.731714248657227,6.685310363769531,6.693148374557495,6.731714248657227,6.731714248657227,6.731714248657227,8.268231868743896,None,None,6,1.5024282932281494,None,8.268675088882446,8.28288221359253,,9.26893949508667,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_18h24.47.744,misty_module,,2025.2.3,59.99653836195859,2026-01-29 18h24.48.850410 +0000,
2,0,2,None,None,6,1.1719367504119873,None,,,,,,,2,0,2,0,,,,,,,,,,,,,9.282883644104004,,,,,,,,,,,,,,,,,,,,,,9.269105434417725,9.282883644104004,,9.768641233444214,9.770251750946045,9.798338413238525,9.798338413238525,9.798338413238525,11.00179147720337,None,None,6,1.1719367504119873,None,11.002289056777954,11.016197443008423,12.016175508499146,12.002033948898315,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_18h24.47.744,misty_module,,2025.2.3,59.99653836195859,2026-01-29 18h24.48.850410 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.002140522003174,12.016175508499146,22.00386667251587,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_18h24.47.744,misty_module,,2025.2.3,59.99653836195859,2026-01-29 18h24.48.850410 +0000,
0,0,0,,,,,,None,None,2,1.9879391193389893,None,,,,,,0,0,0,0,,,,,,,,,22.016046285629272,,,,,,,,,,,,,,,,,,,,,,22.004741668701172,22.016046285629272,,22.503716468811035,,,,,,,,,,,24.57611870765686,24.599141597747803,,25.568443059921265,,,,22.514195203781128,22.56484365463257,22.56484365463257,22.56484365463257,22.56484365463257,22.56484365463257,22.56484365463257,22.56484365463257,22.56484365463257,24.568164110183716,None,None,2,1.9879391193389893,None,,,,,pilot,001,2026-01-29_18h24.47.744,misty_module,,2025.2.3,59.99653836195859,2026-01-29 18h24.48.850410 +0000,
1,0,1,,,,,,None,None,3,2.4187378883361816,None,,,,,,1,0,1,0,,,,,,,,,25.582648038864136,,,,,,,,,,,,,,,,,,,,,,25.568612575531006,25.582648038864136,,26.068325757980347,,,,,,,,,,,28.535764932632446,28.54929232597351,29.54927659034729,29.535119771957397,,,,26.073142528533936,26.098116636276245,26.098116636276245,26.098116636276245,26.098116636276245,26.098116636276245,26.098116636276245,26.098116636276245,26.098116636276245,28.535019874572754,None,None,3,2.4187378883361816,None,,,,,pilot,001,2026-01-29_18h24.47.744,misty_module,,2025.2.3,59.99653836195859,2026-01-29 18h24.48.850410 +0000,
2,0,2,,,,,,None,None,7,1.2802364826202393,None,,,,,,2,0,2,0,,,,,,,,,29.54927659034729,,,,,,,,,,,,,,,,,,,,,,29.53528070449829,29.54927659034729,30.06473970413208,30.035139083862305,,,,,,,,,,,31.36892032623291,31.382575035095215,,32.36837077140808,,,,30.03727626800537,30.06473970413208,30.06473970413208,30.06473970413208,30.06473970413208,30.06473970413208,30.06473970413208,30.06473970413208,30.06473970413208,31.36820387840271,None,None,7,1.2802364826202393,None,,,,,pilot,001,2026-01-29_18h24.47.744,misty_module,,2025.2.3,59.99653836195859,2026-01-29 18h24.48.850410 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.36854267120361,32.382570028305054,37.397971391677856,37.36852264404297,pilot,001,2026-01-29_18h24.47.744,misty_module,,2025.2.3,59.99653836195859,2026-01-29 18h24.48.850410 +0000,
0,0,0,,,,,,,,,,,“easy2”,,,,,,,,,0,0,0,1,0,0,0,0,37.397971391677856,,,,,,,,,,,,,,,,,,,,,,37.381627559661865,37.397971391677856,,37.88496947288513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
