train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,feedback.started,textbox_2.started,feedback.stopped,sum_routine1.started,prog.started,greenbar.started,yellowbar.started,redbar.started,arrow.started,textbox.started,slider.started,key_resp.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006513457999972161,0.0099219170001561,0.0099219170001561,1.3556897919997937,l,1.2321576670001377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h43.26.031,misty_module,,2025.2.4,74.52349213347702,2026-01-30 17h43.26.596059 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3557236669998929,1.363754957999845,1.363754957999845,2.5443634580001344,space,1.1723266660001173,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h43.26.031,misty_module,,2025.2.4,74.52349213347702,2026-01-30 17h43.26.596059 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5521495419998246,2.555075624999972,4.5502588330000435,4.5408762080001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h43.26.031,misty_module,,2025.2.4,74.52349213347702,2026-01-30 17h43.26.596059 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54668700000002,4.5502588330000435,6.56390033300022,6.541944042000068,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h43.26.031,misty_module,,2025.2.4,74.52349213347702,2026-01-30 17h43.26.596059 +0000,
med2,5,0,0,0,None,None,None,,,,,,,,,0,0,0,3,0,0,0,0,,,,,6.56390033300022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.559492708000107,6.56390033300022,7.048216958000012,7.0643196249998255,7.085227333000148,7.085227333000148,7.085227333000148,12.06043366699987,Incorrect!,None,None,None,12.065353708000202,12.072745041999951,13.062482708000061,,,,,,,,,,pilot,001,2026-01-30_17h43.26.031,misty_module,,2025.2.4,74.52349213347702,2026-01-30 17h43.26.596059 +0000,
med2,5,0,0,0,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h43.26.031,misty_module,,2025.2.4,74.52349213347702,2026-01-30 17h43.26.596059 +0000,
easy2,5,0,0,0,None,None,None,,,,,,,,,0,1,1,1,0,0,0,0,,,,,13.072980875000212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.068916833000003,13.072980875000212,13.571132000000034,13.579481374999887,13.593373207999775,13.593373207999775,13.593373207999775,18.582817250000062,Incorrect!,None,None,None,18.583076667000114,18.59510450000016,19.584282041999813,,,,,,,,,,pilot,001,2026-01-30_17h43.26.031,misty_module,,2025.2.4,74.52349213347702,2026-01-30 17h43.26.596059 +0000,
easy2,5,1,1,0,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h43.26.031,misty_module,,2025.2.4,74.52349213347702,2026-01-30 17h43.26.596059 +0000,
hard,5,0,0,0,None,None,None,,,,,,,,,0,2,2,4,0,0,0,0,,,,,19.596223333000125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.59064483300017,19.596223333000125,20.09294758299984,20.109843207999802,20.121717208000064,20.121717208000064,20.121717208000064,25.10520220799981,Incorrect!,None,None,None,25.105458250000083,25.11747349999996,26.10681595799997,,,,,,,,,,pilot,001,2026-01-30_17h43.26.031,misty_module,,2025.2.4,74.52349213347702,2026-01-30 17h43.26.596059 +0000,
hard,5,2,2,0,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h43.26.031,misty_module,,2025.2.4,74.52349213347702,2026-01-30 17h43.26.596059 +0000,
