train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,exp_diff,exp_time,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,feedback.started,textbox_2.started,feedback.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006124957999418257,0.012552457999845501,0.012552457999845501,3.0485651669996514,l,2.926674125000318,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h00.50.651,misty_module,,2025.2.4,74.63888754535391,2026-01-30 18h00.51.195653 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0485909999997602,3.0552234580000004,3.0552234580000004,3.8640132919999814,space,0.7940433329995358,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h00.50.651,misty_module,,2025.2.4,74.63888754535391,2026-01-30 18h00.51.195653 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.871129082999687,3.8740829999997004,5.871482167000067,5.861089582999739,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h00.50.651,misty_module,,2025.2.4,74.63888754535391,2026-01-30 18h00.51.195653 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.866071874999761,5.871482167000067,7.8839460829995005,7.862617332999434,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h00.50.651,misty_module,,2025.2.4,74.63888754535391,2026-01-30 18h00.51.195653 +0000,
hard,5,0,0,0,None,None,None,,,,,,,,,,,0,0,0,4,0,0,0,0,,,,,,,,,7.8839460829995005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.880013125000005,7.8839460829995005,8.368488416999753,8.388432167000246,8.407416957999885,8.407416957999885,8.407416957999885,13.381458500000008,Incorrect!,None,None,None,13.38622495799973,13.39404441700026,14.383216958000048,pilot,001,2026-01-30_18h00.50.651,misty_module,,2025.2.4,74.63888754535391,2026-01-30 18h00.51.195653 +0000,
hard,5,0,0,0,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h00.50.651,misty_module,,2025.2.4,74.63888754535391,2026-01-30 18h00.51.195653 +0000,
easy1,5,0,0,0,None,None,None,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,14.394470041999739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.389430166999773,14.394470041999739,14.891428957999779,14.893559125000138,14.912784582999848,14.912784582999848,14.912784582999848,19.903671416999714,Incorrect!,None,None,None,19.903919624999617,19.9160820420002,20.905322624999826,pilot,001,2026-01-30_18h00.50.651,misty_module,,2025.2.4,74.63888754535391,2026-01-30 18h00.51.195653 +0000,
easy1,5,1,1,0,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h00.50.651,misty_module,,2025.2.4,74.63888754535391,2026-01-30 18h00.51.195653 +0000,
easy2,5,0,0,0,None,None,None,,,,,,,,,,,0,2,2,1,0,0,0,0,,,,,,,,,20.917185792000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.91132587499942,20.917185792000055,21.41367670799991,21.41587804200026,21.431140042000152,21.431140042000152,21.431140042000152,26.426131207999788,Incorrect!,None,None,None,26.426365374999477,26.438428667000153,27.427677499999845,pilot,001,2026-01-30_18h00.50.651,misty_module,,2025.2.4,74.63888754535391,2026-01-30 18h00.51.195653 +0000,
easy2,5,2,2,0,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h00.50.651,misty_module,,2025.2.4,74.63888754535391,2026-01-30 18h00.51.195653 +0000,
med1,5,0,0,0,None,None,None,,,,,,,,,,,0,3,3,2,0,0,0,0,,,,,,,,,27.439527458000157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.43336774999989,27.439527458000157,27.93580304199986,27.93799137499991,27.953350207999392,27.953350207999392,27.953350207999392,32.948458707999634,Incorrect!,None,None,None,32.94868808299998,32.96080495800015,33.950297249999494,pilot,001,2026-01-30_18h00.50.651,misty_module,,2025.2.4,74.63888754535391,2026-01-30 18h00.51.195653 +0000,
med1,5,3,3,0,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h00.50.651,misty_module,,2025.2.4,74.63888754535391,2026-01-30 18h00.51.195653 +0000,
med2,5,0,0,0,None,None,None,,,,,,,,,,,0,4,4,3,0,0,0,0,,,,,,,,,33.96188137499939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.95600491699952,33.96188137499939,34.45841012500023,34.47002020799937,34.48311541699968,34.48311541699968,34.48311541699968,39.470902625000235,Incorrect!,None,None,None,39.471177124999485,39.483169874999476,40.47260512499997,pilot,001,2026-01-30_18h00.50.651,misty_module,,2025.2.4,74.63888754535391,2026-01-30 18h00.51.195653 +0000,
