train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,exp_diff,exp_time,slider.response,slider.rt,key_resp.keys,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,feedback.started,textbox_2.started,feedback.stopped,sum_routine1.started,prog.started,greenbar.started,yellowbar.started,redbar.started,arrow.started,textbox.started,slider.started,key_resp.started,sum_routine1.stopped,streak.count,time.coef,total.cor,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005987250000544009,0.012353292000625515,0.012353292000625515,2.5198843340003805,l,2.3998848330002147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h02.49.006,misty_module,,2025.2.4,74.76239538855346,2026-01-30 18h02.49.545457 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5199082500002987,2.523772542000188,2.523772542000188,2.877836833999936,space,0.342475624999679,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h02.49.006,misty_module,,2025.2.4,74.76239538855346,2026-01-30 18h02.49.545457 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.884953000000678,2.887964667000233,4.885240209000585,4.875364709000678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h02.49.006,misty_module,,2025.2.4,74.76239538855346,2026-01-30 18h02.49.545457 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.881752291999874,4.885240209000585,6.897547500000655,6.875814709000224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h02.49.006,misty_module,,2025.2.4,74.76239538855346,2026-01-30 18h02.49.545457 +0000,
hard,5,0,0,0,None,None,None,,,,,,,,,,,,,,0,0,0,4,0,0,0,0,,,,,,,,,6.897547500000655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.893451124999956,6.897547500000655,7.3827526250006485,7.406364667000162,7.424939500000619,7.424939500000619,7.424939500000619,12.39538179200008,Incorrect!,None,None,None,12.400202750000062,12.407714292000492,13.397122584000499,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h02.49.006,misty_module,,2025.2.4,74.76239538855346,2026-01-30 18h02.49.545457 +0000,
hard,5,0,0,0,,,,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h02.49.006,misty_module,,2025.2.4,74.76239538855346,2026-01-30 18h02.49.545457 +0000,
med1,5,0,0,0,None,None,None,,,,,,,,,,,,,,0,1,1,2,0,0,0,0,,,,,,,,,13.40862025000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.403349375000289,13.40862025000024,13.90531383400048,13.91268783400028,13.926660709000316,13.926660709000316,13.926660709000316,18.917753959000038,Incorrect!,None,None,None,18.917983334000382,18.930073667000215,19.91956733400002,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h02.49.006,misty_module,,2025.2.4,74.76239538855346,2026-01-30 18h02.49.545457 +0000,
med1,5,1,1,0,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h02.49.006,misty_module,,2025.2.4,74.76239538855346,2026-01-30 18h02.49.545457 +0000,
easy1,5,0,0,0,None,None,None,,,,,,,,,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,19.931182125000305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.925618709000446,19.931182125000305,20.427788584000155,20.429684000000634,20.44564362500023,20.44564362500023,20.44564362500023,25.44011962500008,Incorrect!,None,None,None,25.440340292000656,25.45242729200072,26.441890542000692,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h02.49.006,misty_module,,2025.2.4,74.76239538855346,2026-01-30 18h02.49.545457 +0000,
easy1,5,2,2,0,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h02.49.006,misty_module,,2025.2.4,74.76239538855346,2026-01-30 18h02.49.545457 +0000,
med2,5,0,0,0,None,None,None,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,26.453576417000477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.447786542000358,26.453576417000477,26.949697417000607,26.960931459000676,26.973832417000267,26.973832417000267,26.973832417000267,31.962493709000228,Incorrect!,None,None,None,31.962719167000614,31.974835292000535,32.96424245900016,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h02.49.006,misty_module,,2025.2.4,74.76239538855346,2026-01-30 18h02.49.545457 +0000,
med2,5,3,3,0,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h02.49.006,misty_module,,2025.2.4,74.76239538855346,2026-01-30 18h02.49.545457 +0000,
easy2,5,0,0,0,None,None,None,,,,,,,,,,,,,,0,4,4,1,0,0,0,0,,,,,,,,,32.97596129200065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.97039983400009,32.97596129200065,33.47247991699987,33.474243833999935,33.48994345900064,33.48994345900064,33.48994345900064,38.484865084000376,Incorrect!,None,None,None,38.48511008400055,38.497220875000494,39.486679749999894,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h02.49.006,misty_module,,2025.2.4,74.76239538855346,2026-01-30 18h02.49.545457 +0000,
easy2,5,4,4,0,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h02.49.006,misty_module,,2025.2.4,74.76239538855346,2026-01-30 18h02.49.545457 +0000,
,,0,0,0,,,,medium2,5,2,45.597676458000024,None,,,,,,,,,,,,,,,,,0,0,0,3,0,0,0,0,39.497323958999914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.49382725000032,39.497323958999914,39.99466016699989,,,,,,Correct!,,,,85.61147687500033,85.62101933400027,86.60988783399989,39.99849758400069,40.02411566699993,40.02411566699993,40.02411566699993,40.02411566699993,40.02411566699993,40.02411566699993,40.02411566699993,40.02411566699993,85.60870087500007,0,1,0,2,45.597676458000024,None,pilot,001,2026-01-30_18h02.49.006,misty_module,,2025.2.4,74.76239538855346,2026-01-30 18h02.49.545457 +0000,
,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,86.62185683400003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.61004541700004,86.62185683400003,87.11833758400007,,,,,,,,,,,,,87.12053291700067,87.13733225000033,87.13733225000033,87.13733225000033,87.13733225000033,87.13733225000033,87.13733225000033,87.13733225000033,87.13733225000033,,,,,,,,,,,,,,,,
