train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,feedback.started,textbox_2.started,feedback.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.006283832999542938,0.012269415999980993,0.012269415999980993,1.9340432499993767,l,1.8132180840002547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h05.11.469,misty_module,,2025.2.4,74.83274843319951,2026-01-30 18h05.12.012705 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9340747079995708,1.9401315830000385,1.9401315830000385,2.383795083000223,space,0.438324666999506,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h05.11.469,misty_module,,2025.2.4,74.83274843319951,2026-01-30 18h05.12.012705 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.390881499999523,2.393673458000194,4.393149665999772,4.381826249999904,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h05.11.469,misty_module,,2025.2.4,74.83274843319951,2026-01-30 18h05.12.012705 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.389030082999852,4.393149665999772,6.409807125000043,6.382950125000207,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h05.11.469,misty_module,,2025.2.4,74.83274843319951,2026-01-30 18h05.12.012705 +0000,
hard,5,0,0,0,None,None,None,,,,,,,,,0,0,0,4,0,0,0,0,6.409807125000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.40523362499971,6.409807125000043,6.889188457999808,6.911695666000014,6.9318062080001255,6.9318062080001255,6.9318062080001255,11.901762165999571,Incorrect!,None,None,None,11.906662915999732,11.914020125000206,12.903513207999822,pilot,001,2026-01-30_18h05.11.469,misty_module,,2025.2.4,74.83274843319951,2026-01-30 18h05.12.012705 +0000,
hard,5,0,0,0,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h05.11.469,misty_module,,2025.2.4,74.83274843319951,2026-01-30 18h05.12.012705 +0000,
med1,5,0,0,0,None,None,None,,,,,,,,,0,1,1,2,0,0,0,0,12.914875665999716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.909804832999725,12.914875665999716,13.411236541000108,13.420198875000096,13.434204874999523,13.434204874999523,13.434204874999523,18.424030375000257,Incorrect!,None,None,None,18.424284582999462,18.436373290999654,19.425620457999685,pilot,001,2026-01-30_18h05.11.469,misty_module,,2025.2.4,74.83274843319951,2026-01-30 18h05.12.012705 +0000,
med1,5,1,1,0,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h05.11.469,misty_module,,2025.2.4,74.83274843319951,2026-01-30 18h05.12.012705 +0000,
easy1,5,0,0,0,None,None,None,,,,,,,,,0,2,2,0,0,0,0,0,19.437551957999858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.431792958000187,19.437551957999858,19.93383779099986,19.935719332999724,19.952171207999527,19.952171207999527,19.952171207999527,24.946315874999527,Incorrect!,None,None,None,24.946558665999873,24.958743958000014,25.94823174999965,pilot,001,2026-01-30_18h05.11.469,misty_module,,2025.2.4,74.83274843319951,2026-01-30 18h05.12.012705 +0000,
easy1,5,2,2,0,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h05.11.469,misty_module,,2025.2.4,74.83274843319951,2026-01-30 18h05.12.012705 +0000,
med2,5,0,0,0,,,,,,,,,,,,0,3,3,3,0,0,0,0,25.959869040999365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.95387849999952,25.959869040999365,26.45608620799976,26.467548707999413,26.48186262499985,26.48186262499985,26.48186262499985,31.46889962499972,Incorrect!,None,None,None,31.469175790999543,31.481129750000036,,,,,,,,,,
