train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,exp_diff,exp_time,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback.started,textbox_2.started,feedback.stopped,textbox_2.stopped,fix.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00635412500014354,0.009722417000375572,0.009722417000375572,1.290617084000587,l,1.173833332999493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2906424170005266,1.2968406670006516,1.2968406670006516,1.7424727920006262,space,0.4296808750004857,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7492318340000566,1.752179709000302,3.749959708999995,3.7405288340005427,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7470071670004472,3.749959708999995,5.767371292000462,5.741332209000575,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
med1,5,0,0,0,None,None,3,1.8059527499999604,None,,,,,,,,,,,0,0,0,2,0,0,0,0,,,,,,,,,5.767371292000462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.763022167000599,5.767371292000462,6.247450500000014,6.263155542000277,6.284542250000413,6.284542250000413,6.284542250000413,8.099576625000736,Incorrect!,None,None,3,1.8059527499999604,None,8.10436404200027,8.111263167000288,9.100741167000706,,,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
med1,5,1,0,1,None,None,7,1.3730930829997305,None,,,,,,,,,,,0,0,0,2,1,0,1,0,,,,,,,,,9.11323483400065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.100949584000773,9.11323483400065,9.609458249999989,9.619937292000031,9.636389792000045,9.636389792000045,9.636389792000045,11.02031850000003,Incorrect!,None,None,7,1.3730930829997305,None,11.020578874999956,11.032298125000125,12.021812124999997,,,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
med1,5,2,0,2,None,None,None,,,,,,,,,,,,,0,0,0,2,2,0,2,0,,,,,,,,,12.034248667000611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.021996959000717,12.034248667000611,12.529752875000668,12.539276584000618,12.544050000000425,12.544050000000425,12.544050000000425,12.540054292000605,Incorrect!,None,None,None,,,12.54055158400024,12.544050000000425,13.529111458999978,13.53956670900061,,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
med1,5,0,0,0,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
hard,5,0,0,0,None,None,9,0.5349011670004984,None,,,,,,,,,,,0,1,1,4,0,0,0,0,,,,,,,,,13.53956670900061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.535805375000564,13.53956670900061,14.037027084000329,14.047998792000726,14.060575667000194,14.060575667000194,14.060575667000194,14.608273792000546,Incorrect!,None,None,9,0.5349011670004984,None,14.608542209000007,14.620271209000748,15.611930167000537,,14.060575667000194,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
hard,5,1,0,1,None,None,7,0.9029181249998146,None,,,,,,,,,,,0,1,1,4,1,0,1,0,,,,,,,,,15.621330417000536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.612130250000519,15.621330417000536,16.11802175000048,16.127910625000368,16.144547625000087,16.144547625000087,16.144547625000087,17.04909116700037,Incorrect!,None,None,7,0.9029181249998146,None,17.049342875000548,17.061156708999988,18.05063758400047,,,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
hard,5,2,0,2,None,None,None,,,,,,,,,,,,,0,1,1,4,2,0,2,0,,,,,,,,,18.062049791999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.050824750000174,18.062049791999925,18.559753125000498,18.563148791999993,18.583374625000033,18.583374625000033,18.583374625000033,19.04957749999994,Incorrect!,None,None,None,,,19.049829750000754,19.06190295900069,20.051049542000328,,,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
hard,5,1,1,0,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
med2,5,0,0,0,None,None,5,0.5675325420006629,None,,,,,,,,,,,0,2,2,3,0,0,0,0,,,,,,,,,20.06296633400052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.056554000000688,20.06296633400052,20.5591603339999,20.567743958999927,20.58192954200058,20.58192954200058,20.58192954200058,21.15731075000076,Incorrect!,None,None,5,0.5675325420006629,None,21.157559375000346,21.16933708400029,22.15885129200069,,,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
med2,5,1,0,1,None,None,4,1.8148547090004286,None,,,,,,,,,,,0,2,2,3,1,0,1,0,,,,,,,,,22.170953792000546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.15903754200008,22.170953792000546,22.66721883399987,22.67247687500003,22.691579209000338,22.691579209000338,22.691579209000338,24.51892670899997,Incorrect!,None,None,4,1.8148547090004286,None,24.519178292000106,24.53095362500062,25.520048166999914,,,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
med2,5,2,0,2,None,None,None,,,,,,,,,,,,,0,2,2,3,2,0,2,0,,,,,,,,,25.53200308400028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.52023462500074,25.53200308400028,26.027764209000452,26.035400708999987,26.040100666999933,26.040100666999933,26.040100666999933,26.03618387500046,Incorrect!,None,None,None,,,26.036607084000025,26.040100666999933,27.02563525000005,27.038063083999987,,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
med2,5,2,2,0,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h25.39.449,misty_module,,2025.2.4,74.8651256100956,2026-01-30 18h25.39.994998 +0000,
