train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,exp_diff,exp_time,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback.started,textbox_2.started,feedback.stopped,textbox_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007348916999944777,0.012616582999726234,0.012616582999726234,1.4059751670001788,l,1.2794161249994431,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h32.29.617,misty_module,,2025.2.4,74.73590200616022,2026-01-30 18h32.30.168561 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4060030829996322,1.4124249579999741,1.4124249579999741,1.8482849579995673,space,0.4306084589998136,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h32.29.617,misty_module,,2025.2.4,74.73590200616022,2026-01-30 18h32.30.168561 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8553745419994812,1.8581591669999398,3.8599117080002543,3.8477389170002425,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h32.29.617,misty_module,,2025.2.4,74.73590200616022,2026-01-30 18h32.30.168561 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8552482499999314,3.8599117080002543,5.848929916999623,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h32.29.617,misty_module,,2025.2.4,74.73590200616022,2026-01-30 18h32.30.168561 +0000,
easy2,5,0,0,0,None,None,6,2.1140145839999605,None,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,5.875302499999634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.870277916999839,5.875302499999634,6.356223124999815,6.374568000000181,6.399949167000159,6.399949167000159,6.399949167000159,8.526725791999525,Incorrect!,None,None,6,2.1140145839999605,None,8.531453417000193,8.538621624999905,9.527874792000148,,pilot,001,2026-01-30_18h32.29.617,misty_module,,2025.2.4,74.73590200616022,2026-01-30 18h32.30.168561 +0000,
easy2,5,1,0,1,None,None,None,,,,,,,,,,,,,0,0,0,1,1,0,1,0,,,,,,,,,9.54059212499942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52808845799973,9.54059212499942,10.035769125000115,10.046824166999613,10.059557167000094,10.059557167000094,10.059557167000094,11.367349541999829,Incorrect!,None,None,None,,,11.367595457999414,11.379629999999452,12.368250374999661,,pilot,001,2026-01-30_18h32.29.617,misty_module,,2025.2.4,74.73590200616022,2026-01-30 18h32.30.168561 +0000,
easy2,5,0,0,0,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h32.29.617,misty_module,,2025.2.4,74.73590200616022,2026-01-30 18h32.30.168561 +0000,
hard,5,0,0,0,None,None,4,0.8576782079999248,None,,,,,,,,,,,0,1,1,4,0,0,0,0,,,,,,,,,12.380184292000195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.37350937500014,12.380184292000195,12.876794875000087,12.889582541999516,12.902293416999782,12.902293416999782,12.902293416999782,13.76852208299988,Incorrect!,None,None,4,0.8576782079999248,None,13.768797042000188,13.780541207999704,14.771465291999448,,pilot,001,2026-01-30_18h32.29.617,misty_module,,2025.2.4,74.73590200616022,2026-01-30 18h32.30.168561 +0000,
hard,5,1,0,1,None,None,7,1.5712713749999239,None,,,,,,,,,,,0,1,1,4,1,0,1,0,,,,,,,,,14.781578791999891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.771675541999684,14.781578791999891,15.277609875000053,15.293620207999993,15.305668999999398,15.305668999999398,15.305668999999398,16.88967933299955,Incorrect!,None,None,7,1.5712713749999239,None,16.88993041699996,16.901656791999812,17.891558457999963,,pilot,001,2026-01-30_18h32.29.617,misty_module,,2025.2.4,74.73590200616022,2026-01-30 18h32.30.168561 +0000,
hard,5,2,0,2,None,None,None,,,,,,,,,,,,,0,1,1,4,2,0,2,0,,,,,,,,,17.902423957999417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.891765291999945,17.902423957999417,18.398773457999596,18.402604957999756,18.408869082999445,18.408869082999445,18.408869082999445,18.403440332999708,Incorrect!,None,None,None,,,18.403906542000186,18.408869082999445,19.39841266700023,19.409916624999823,pilot,001,2026-01-30_18h32.29.617,misty_module,,2025.2.4,74.73590200616022,2026-01-30 18h32.30.168561 +0000,
