train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,exp_diff,exp_time,slider.response,slider.rt,key_resp.keys,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback.started,textbox_2.started,textbox_2.stopped,feedback.stopped,sum_routine1.started,prog.started,greenbar.started,yellowbar.started,redbar.started,arrow.started,textbox.started,slider.started,key_resp.started,sum_routine1.stopped,streak.count,time.coef,total.cor,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,prog.stopped,greenbar.stopped,yellowbar.stopped,redbar.stopped,arrow.stopped,textbox.stopped,slider.stopped,key_resp.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0061342090002654,0.009179417000268586,0.009179417000268586,0.525719167000716,l,0.41033533300014824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h37.23.979,misty_module,,2025.2.4,75.13792524172894,2026-01-30 18h37.24.519948 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5257460420007192,0.5295072500002789,0.5295072500002789,1.1892147090002254,space,0.6540079169999444,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h37.23.979,misty_module,,2025.2.4,75.13792524172894,2026-01-30 18h37.24.519948 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1965322500000184,1.1995499170006951,3.195921042000009,3.18618966700069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h37.23.979,misty_module,,2025.2.4,75.13792524172894,2026-01-30 18h37.24.519948 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.192008459000135,3.195921042000009,5.213168750000477,5.187155334000636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h37.23.979,misty_module,,2025.2.4,75.13792524172894,2026-01-30 18h37.24.519948 +0000,
easy1,5,0,0,0,None,None,2,1.1671644170000945,None,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,5.213168750000477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.20884741700047,5.213168750000477,5.693876125000315,5.707243584000025,5.728312959000505,5.728312959000505,5.728312959000505,6.9051368340005865,Correct!,None,None,2,1.1671644170000945,None,6.909856042000683,6.9171230420006395,7.917525167000349,7.905210334000003,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h37.23.979,misty_module,,2025.2.4,75.13792524172894,2026-01-30 18h37.24.519948 +0000,
easy1,5,1,0,1,None,None,7,2.1632211249998363,None,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,7.917525167000349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.905315542000608,7.917525167000349,8.412633124999957,8.421020959000089,8.43226658399999,8.43226658399999,8.43226658399999,10.599872167000285,Correct!,None,None,7,2.1632211249998363,None,10.600154542000382,10.61181250000027,,11.60110000000077,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h37.23.979,misty_module,,2025.2.4,75.13792524172894,2026-01-30 18h37.24.519948 +0000,
easy1,5,2,0,2,None,None,None,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,11.613681000000724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.601296249999905,11.613681000000724,12.109175667000272,12.117510000000038,12.127378584000326,12.127378584000326,12.127378584000326,12.11832295900058,Incorrect!,None,None,None,,,12.12404458400033,12.127378584000326,,13.12147937500049,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h37.23.979,misty_module,,2025.2.4,75.13792524172894,2026-01-30 18h37.24.519948 +0000,
easy1,5,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h37.23.979,misty_module,,2025.2.4,75.13792524172894,2026-01-30 18h37.24.519948 +0000,
easy2,5,0,0,0,None,None,2,1.8124027909998404,None,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,13.13294070900065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.127631209000356,13.13294070900065,13.629893584000456,13.63756583400027,13.651069584000652,13.651069584000652,13.651069584000652,15.468293167000411,Incorrect!,None,None,2,1.8124027909998404,None,15.468543209000018,15.480212334000498,,16.469602500000292,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h37.23.979,misty_module,,2025.2.4,75.13792524172894,2026-01-30 18h37.24.519948 +0000,
easy2,5,1,0,1,None,None,None,,,,,,,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,16.48161416700077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.469816542000444,16.48161416700077,16.976243834000343,16.98309829200025,16.995655500000794,16.995655500000794,16.995655500000794,18.64231404200018,Incorrect!,None,None,None,,,18.642564667000443,18.654684959000406,,19.645457500000703,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h37.23.979,misty_module,,2025.2.4,75.13792524172894,2026-01-30 18h37.24.519948 +0000,
