prac_diff,thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,train_diff,train_time,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,exp_diff,exp_time,diffbyt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fixation.stopped,practice_trials.started,equation_practice_1.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,feedback_practice_1.started,feedback.stopped,new_ui.started,text_2.started,new_ui.stopped,training_instructions.started,text_3.started,training_instructions.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback_practice_1.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006083291999857465,0.00914529199962999,0.00914529199962999,4.758644541999729,l,4.632027165999716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_17h37.20.217,misty_module,,2025.2.4,74.96841955312351,2026-01-31 17h37.20.753109 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.758670875000007,4.764868374999878,4.764868374999878,5.361240166999778,space,0.5903133749998233,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_17h37.20.217,misty_module,,2025.2.4,74.96841955312351,2026-01-31 17h37.20.753109 +0000,
easy1,0,0,0,None,None,8,1.3651718750002146,None,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,5.373138624999683,,,,,,,,,,,,,,,,,,,,,,5.3689269579999745,5.373138624999683,5.864026291999835,5.877038249999714,5.899001082999803,5.899001082999803,5.899001082999803,7.276076832999934,None,None,8,1.3651718750002146,None,7.280931874999624,7.287982999999713,8.277298707999762,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_17h37.20.217,misty_module,,2025.2.4,74.96841955312351,2026-01-31 17h37.20.753109 +0000,
easy1,1,1,0,None,None,1,2.5375002499999937,None,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,8.289338999999927,,,,,,,,,,,,,,,,,,,,,,8.27747324999973,8.289338999999927,8.785379207999995,8.794373166999776,8.80866454199986,8.80866454199986,8.80866454199986,11.357641041999614,None,None,1,2.5375002499999937,None,11.357899707999877,11.369564332999744,12.35878512499994,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_17h37.20.217,misty_module,,2025.2.4,74.96841955312351,2026-01-31 17h37.20.753109 +0000,
easy1,2,2,0,None,None,3,1.7316099159997975,None,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,12.370757666999907,,,,,,,,,,,,,,,,,,,,,,12.3589378329998,12.370757666999907,12.866947249999612,12.875568082999962,12.894522332999713,12.894522332999713,12.894522332999713,14.638812207999763,None,None,3,1.7316099159997975,None,14.639061166999909,14.650763499999812,15.639964749999763,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_17h37.20.217,misty_module,,2025.2.4,74.96841955312351,2026-01-31 17h37.20.753109 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.640066707999722,15.652118249999603,17.64307420799969,,,,,,,,,,,,,,,,pilot,001,2026-01-31_17h37.20.217,misty_module,,2025.2.4,74.96841955312351,2026-01-31 17h37.20.753109 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.651309624999612,17.655897124999683,19.643299916999695,,,,,,,,,,,,,pilot,001,2026-01-31_17h37.20.217,misty_module,,2025.2.4,74.96841955312351,2026-01-31 17h37.20.753109 +0000,
,0,0,0,,,,,,med1,5,None,None,None,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,,,,,,,,,19.666358624999702,,,,,,,,,,,,,,,,,,,,,,19.66381116699995,19.666358624999702,20.14955424999971,,,,,,,,,,,25.167479332999847,25.174532957999872,26.165436874999614,,,,,,,20.159596332999627,20.181442332999723,20.181442332999723,20.181442332999723,25.162300208000033,Next Block,None,None,None,,,,pilot,001,2026-01-31_17h37.20.217,misty_module,,2025.2.4,74.96841955312351,2026-01-31 17h37.20.753109 +0000,
,0,0,0,,,,,,med1,5,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_17h37.20.217,misty_module,,2025.2.4,74.96841955312351,2026-01-31 17h37.20.753109 +0000,
,0,0,0,,,,,,med2,5,None,None,5,4.578930499999842,None,,,,,,,,,,,,0,1,1,3,0,0,0,0,,,,,,,,,26.174501999999848,,,,,,,,,,,,,,,,,,,,,,26.17201916699969,26.174501999999848,26.671932707999986,,,,,,,,,,,31.285198166999635,31.29704849999962,32.28720466699997,,,,,,,26.684682082999643,26.699208499999713,26.699208499999713,26.699208499999713,31.284923958000036,Next Block,None,None,5,4.578930499999842,None,,pilot,001,2026-01-31_17h37.20.217,misty_module,,2025.2.4,74.96841955312351,2026-01-31 17h37.20.753109 +0000,
