prac_diff,thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,train_diff,train_time,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,exp_diff,exp_time,diffbyt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fixation.stopped,practice_trials.started,equation_practice_1.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,feedback_practice_1.started,feedback.stopped,new_ui.started,text_2.started,new_ui.stopped,training_instructions.started,text_3.started,training_instructions.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback_practice_1.stopped,sum_routine1.started,prog.started,greenbar.started,yellowbar.started,redbar.started,arrow.started,textbox.started,slider.started,key_resp.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0059744580003098235,0.008832791000713769,0.008832791000713769,1.0919027080008163,l,0.9693061250000028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h34.20.354,misty_module,,2025.2.4,74.55418924667326,2026-01-31 18h34.20.892384 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0919283330003964,1.0988835410007596,1.0988835410007596,1.4500969160008026,space,0.3392438749997382,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h34.20.354,misty_module,,2025.2.4,74.55418924667326,2026-01-31 18h34.20.892384 +0000,
easy1,0,0,0,None,None,4,1.2167601250002917,None,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,1.461864833000618,,,,,,,,,,,,,,,,,,,,,,1.4575762910008052,1.461864833000618,1.9576743330007957,1.9719455000004018,1.9933306250004534,1.9933306250004534,1.9933306250004534,3.222806333000335,None,None,4,1.2167601250002917,None,3.227578666000227,3.2346467080005823,4.223609708000367,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h34.20.354,misty_module,,2025.2.4,74.55418924667326,2026-01-31 18h34.20.892384 +0000,
easy1,1,1,0,None,None,6,2.8489259589996436,None,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,4.235390415999973,,,,,,,,,,,,,,,,,,,,,,4.223764791000576,4.235390415999973,4.732239500000105,4.74230875000012,4.756181749999996,4.756181749999996,4.756181749999996,7.610769750000145,None,None,6,2.8489259589996436,None,7.61103145800007,7.623011291000694,8.611757625000791,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h34.20.354,misty_module,,2025.2.4,74.55418924667326,2026-01-31 18h34.20.892384 +0000,
easy1,2,2,0,None,None,3,1.555797457999688,None,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,8.624200125000243,,,,,,,,,,,,,,,,,,,,,,8.611916041000768,8.624200125000243,9.120661040999948,9.129670250000345,9.14728945800016,9.14728945800016,9.14728945800016,10.705297500000597,None,None,3,1.555797457999688,None,10.705550541000775,10.717436041000838,11.707730583000739,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h34.20.354,misty_module,,2025.2.4,74.55418924667326,2026-01-31 18h34.20.892384 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.707834875000117,11.718100625000261,13.709038166000028,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h34.20.354,misty_module,,2025.2.4,74.55418924667326,2026-01-31 18h34.20.892384 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.716666291000365,13.721376541000609,15.709678500000336,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h34.20.354,misty_module,,2025.2.4,74.55418924667326,2026-01-31 18h34.20.892384 +0000,
,0,0,0,,,,,,easy2,5,None,None,None,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,15.728054832999987,,,,,,,,,,,,,,,,,,,,,,15.725704666000638,15.728054832999987,16.216363916000773,,,,,,,,,,,21.234532916000717,21.240877041000203,22.232256625000446,,,,,,,16.227788416000294,16.25346970800001,16.25346970800001,16.25346970800001,21.229187375000038,Next Block,None,None,None,,,,,,,,,,,,,pilot,001,2026-01-31_18h34.20.354,misty_module,,2025.2.4,74.55418924667326,2026-01-31 18h34.20.892384 +0000,
,0,0,0,,,,,,easy2,5,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h34.20.354,misty_module,,2025.2.4,74.55418924667326,2026-01-31 18h34.20.892384 +0000,
,0,0,0,,,,,,hard,5,None,None,None,,,,,,,,,,,,,,0,1,1,4,0,0,0,0,,,,,,,,,22.24132287500015,,,,,,,,,,,,,,,,,,,,,,22.238813708000635,22.24132287500015,22.7389701660004,,,,,,,,,,,27.751667291000558,27.763669833000677,28.752752916000645,,,,,,,22.74916658300026,22.765671791000386,22.765671791000386,22.765671791000386,27.751396208000187,Next Block,None,None,None,,,,,,,,,,,,,pilot,001,2026-01-31_18h34.20.354,misty_module,,2025.2.4,74.55418924667326,2026-01-31 18h34.20.892384 +0000,
