prac_diff,thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,train_diff,train_time,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fixation.stopped,practice_trials.started,equation_practice_1.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,feedback_practice_1.started,feedback.stopped,new_ui.started,text_2.started,new_ui.stopped,training_instructions.started,text_3.started,training_instructions.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,next_block.started,text_4.started,key_resp_3.started,text_4.stopped,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,feedback_practice_1.stopped,sum_routine1.started,prog.started,greenbar.started,yellowbar.started,redbar.started,arrow.started,textbox.started,slider.started,key_resp.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,prog.stopped,greenbar.stopped,yellowbar.stopped,redbar.stopped,arrow.stopped,textbox.stopped,slider.stopped,key_resp.stopped,perf_feedback.started,text_5.started,key_resp_6.started,text_5.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006319625000287488,0.012012582999886945,0.012012582999886945,1.2322469170003387,l,1.1054665829997248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2322720829997706,1.2366691670004002,1.2366691670004002,1.6470629579998786,space,0.39782158300022274,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
easy1,0,0,0,None,None,9,1.6074357919997055,None,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,1.6586893330004386,,,,,,,,,,,,,,,,,,,,,,1.654590791999908,1.6586893330004386,2.1501093329998184,2.163459041999886,2.1840052919997106,2.1840052919997106,2.1840052919997106,3.8022686249996696,None,None,9,1.6074357919997055,None,3.807068000000072,3.814236125000207,4.8034715419998975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
easy1,1,1,0,None,None,6,1.2316197090003698,None,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,4.814921250000225,,,,,,,,,,,,,,,,,,,,,,4.803637250000065,4.814921250000225,5.3118339579996245,5.321213291999811,5.338834916999986,5.338834916999986,5.338834916999986,6.576059416999669,None,None,6,1.2316197090003698,None,6.576299125000332,6.588213791999806,7.57732387499982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
easy1,2,2,0,None,None,0,1.0257722090000243,None,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,7.589657542000168,,,,,,,,,,,,,,,,,,,,,,7.577486875000432,7.589657542000168,8.084727417000067,8.0924770419997,8.105669417000172,8.105669417000172,8.105669417000172,9.137047000000166,None,None,0,1.0257722090000243,None,9.137275916999897,9.149558375000197,10.138922541999818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.139022958000169,10.150185999999849,12.140828874999897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.148268625000128,12.152880583000297,14.141635291999592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,0,0,0,,,,,,hard,5,None,None,7,0.7666075409997575,None,,,,,,,,,,,,,,,,,,0,0,0,4,0,0,0,0,,,,,,,,,14.219913666999673,,,,,,,,,,,,,,,,,,,,,,14.218237166999643,14.219913666999673,14.648661332999836,,,,,,,,,,,15.47621325,15.48510429199996,16.47594104200016,,,,,,,14.674602250000135,14.693801874999735,14.693801874999735,14.693801874999735,15.473226291999708,Incorrect!,None,None,7,0.7666075409997575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,1,0,1,,,,,,hard,5,None,None,4,0.30854570800056536,None,,,,,,,,,,,,,,,,,,0,0,0,4,1,0,1,0,,,,,,,,,16.485855333000472,,,,,,,,,,,,,,,,,,,,,,16.476155542000015,16.485855333000472,16.982656707999922,,,,,,,,,,,17.32735304200014,17.339124207999703,18.328439083000376,,,,,,,16.993404583000483,17.010855249999622,17.010855249999622,17.010855249999622,17.327095417000237,Incorrect!,None,None,4,0.30854570800056536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,2,0,2,,,,,,hard,5,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,4,2,0,2,0,,,,,,,,,18.34045262499967,,,,,,,,,,,,,,,,,,,,,,18.328644291999808,18.34045262499967,18.836684791999687,,,,,,,,,,,19.666424500000176,19.673379625000052,20.663842457999635,,,,,,,18.843889333000334,18.858034417000454,18.858034417000454,18.858034417000454,19.661159625000437,Next Block,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,0,0,0,,,,,,hard,5,,,,,,space,2.878313084000183,None,,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.665529666999646,20.674056832999668,20.674056832999668,21.674598499999775,23.559716833000493,space,2.878313084000183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,0,0,0,,,,,,easy2,5,None,None,8,0.6756089999998949,None,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,23.56968841700018,,,,,,,,,,,,,,,,,,,,,,23.565022083000258,23.56968841700018,24.065657750000355,,,,,,,,,,,24.770081499999833,24.781933582999955,25.771285875000103,,,,,,,24.068050167000365,24.083764957999847,24.083764957999847,24.083764957999847,24.769831958000395,Correct!,None,None,8,0.6756089999998949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,1,0,1,,,,,,easy2,5,None,None,8,0.3643621669998538,None,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,25.782658957999956,,,,,,,,,,,,,,,,,,,,,,25.771494124999663,25.782658957999956,26.27937558299982,,,,,,,,,,,26.675751916999616,26.689156333000028,27.678625708000254,,,,,,,26.281622917000277,26.301011833000302,26.301011833000302,26.301011833000302,26.675478957999985,Incorrect!,None,None,8,0.3643621669998538,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
