train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback.started,feedback_practice_1.started,feedback.stopped,next_block.started,text_4.started,key_resp_3.started,text_4.stopped,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,feedback_practice_1.stopped,sum_routine1.started,prog.started,greenbar.started,yellowbar.started,redbar.started,arrow.started,textbox.started,slider.started,key_resp.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006209541000316676,0.01085258300008718,0.01085258300008718,1.26800083299986,l,1.1430353750001814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h55.33.940,misty_module,,2025.2.4,74.85875070760754,2026-01-31 18h55.34.482889 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.268025458000011,1.2740791249998438,1.2740791249998438,1.5630900830001337,space,0.27781750000031025,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h55.33.940,misty_module,,2025.2.4,74.85875070760754,2026-01-31 18h55.34.482889 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5695991250004226,1.5726851250001346,3.5742071659997237,3.5624858749997657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h55.33.940,misty_module,,2025.2.4,74.85875070760754,2026-01-31 18h55.34.482889 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5696280000001934,3.5742071659997237,5.563296791000539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h55.33.940,misty_module,,2025.2.4,74.85875070760754,2026-01-31 18h55.34.482889 +0000,
easy2,5,0,0,0,None,None,7,3.564515209000092,None,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,5.589487166000254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.584962583000561,5.589487166000254,6.069427458000064,6.083744290999675,6.10531116600032,6.10531116600032,6.10531116600032,9.682227416000387,Incorrect!,None,None,7,3.564515209000092,None,9.6871811660003,9.693997291000414,10.683382958000038,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h55.33.940,misty_module,,2025.2.4,74.85875070760754,2026-01-31 18h55.34.482889 +0000,
easy2,5,1,0,1,None,None,None,,,,,,,,,,,,,,,,,0,0,0,1,1,0,1,0,,,,,,,,,10.694841333000113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.683598165999683,10.694841333000113,11.191679290999673,11.202470582999922,11.219067666000228,11.219067666000228,11.219067666000228,11.203475583,Next Block,None,None,None,,,11.215431915999943,11.219067666000228,12.203900833000262,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h55.33.940,misty_module,,2025.2.4,74.85875070760754,2026-01-31 18h55.34.482889 +0000,
easy2,5,0,0,0,,,,,,space,2.876520542000435,None,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.205677957999796,12.215340083000228,12.215340083000228,13.215525540999806,15.10118670799966,space,2.876520542000435,None,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h55.33.940,misty_module,,2025.2.4,74.85875070760754,2026-01-31 18h55.34.482889 +0000,
med1,5,0,0,0,None,None,5,1.687129625000125,None,,,,,,,,,,,,,,,0,1,1,2,0,0,0,0,,,,,,,,,15.112944166000489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.107630874999813,15.112944166000489,15.606833833000564,15.615947750000487,15.631719040999997,15.631719040999997,15.631719040999997,17.325220708000415,Incorrect!,None,None,5,1.687129625000125,None,17.325489625000046,17.348484291000204,18.32611850000012,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h55.33.940,misty_module,,2025.2.4,74.85875070760754,2026-01-31 18h55.34.482889 +0000,
med1,5,1,0,1,None,None,None,,,,,,,,,,,,,,,,,0,1,1,2,1,0,1,0,,,,,,,,,18.337917124999876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.326337790999787,18.337917124999876,18.83432141600042,18.843819624999924,18.85862141600046,18.85862141600046,18.85862141600046,20.619023791000473,Next Block,None,None,None,,,20.619267375000163,20.63131762500052,21.622158082999704,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h55.33.940,misty_module,,2025.2.4,74.85875070760754,2026-01-31 18h55.34.482889 +0000,
med1,5,1,1,0,,,,,,space,3.069771542000126,None,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.623564540999723,21.632102874999873,21.632102874999873,22.632746833000056,24.715410458000406,space,3.069771542000126,None,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h55.33.940,misty_module,,2025.2.4,74.85875070760754,2026-01-31 18h55.34.482889 +0000,
