train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,feedback.started,feedback_practice_1.started,feedback.stopped,next_block.started,text_4.started,key_resp_3.started,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,start_experiment.started,text_6.started,text_6.stopped,start_experiment.stopped,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,arrow.started,textbox.started,slider.started,key_resp.started,polygon.started,polygon.stopped,sum_routine1.stopped,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,perf_feedback.started,text_5.started,key_resp_6.started,text_5.stopped,perf_feedback.stopped,experimental_trials.key_resp_6.keys,experimental_trials.key_resp_6.rt,experimental_trials.key_resp_6.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00572387499960314,0.011864250000144239,0.011864250000144239,3.5904532499998822,l,3.4711999159999323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h17.43.833,misty_module,,2025.2.4,74.86276718997432,2026-01-31 19h17.44.391336 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5904780829996525,3.594468291999874,3.594468291999874,4.036513332999675,space,0.43060849999983475,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h17.43.833,misty_module,,2025.2.4,74.86276718997432,2026-01-31 19h17.44.391336 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.043560041999626,4.046410166999522,6.045559374999357,6.033793208000134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h17.43.833,misty_module,,2025.2.4,74.86276718997432,2026-01-31 19h17.44.391336 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0384870829993815,6.045559374999357,8.061336082999333,8.036124707999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h17.43.833,misty_module,,2025.2.4,74.86276718997432,2026-01-31 19h17.44.391336 +0000,
easy1,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,8.061336082999333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.057077082999967,8.061336082999333,8.542901457999506,8.551049707999482,8.569085000000086,8.569085000000086,8.569085000000086,13.55528433299969,None,None,None,13.562259207999887,13.567968583000038,14.558855041999777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h17.43.833,misty_module,,2025.2.4,74.86276718997432,2026-01-31 19h17.44.391336 +0000,
easy1,5,0,0,0,,,,space,3.8714012500004173,None,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.560656707999442,14.568643417000203,14.568643417000203,18.45458120799958,space,3.8714012500004173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h17.43.833,misty_module,,2025.2.4,74.86276718997432,2026-01-31 19h17.44.391336 +0000,
med1,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0,0,0,0,,,,,,,,,18.464659666999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.460105957999986,18.464659666999978,18.96019970799989,18.974915124999825,18.990372374999424,18.990372374999424,18.990372374999424,23.97299062499951,None,None,None,23.973277125000095,23.985137249999752,24.974341666999862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h17.43.833,misty_module,,2025.2.4,74.86276718997432,2026-01-31 19h17.44.391336 +0000,
med1,5,1,1,0,,,,space,5.354341707999993,None,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.97565858300004,24.985721332999674,24.985721332999674,30.352649916999326,space,5.354341707999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h17.43.833,misty_module,,2025.2.4,74.86276718997432,2026-01-31 19h17.44.391336 +0000,
easy2,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,2,2,1,0,0,0,0,,,,,,,,,30.365156916999695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.359298667000076,30.365156916999695,30.858358791999308,30.86842941699979,30.88560270800008,30.88560270800008,30.88560270800008,35.87054120799985,None,None,None,35.8708154169999,35.88274575000014,36.87198691699996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h17.43.833,misty_module,,2025.2.4,74.86276718997432,2026-01-31 19h17.44.391336 +0000,
easy2,5,2,2,0,,,,space,0.06356562500059226,None,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.87329116699948,36.883441166999546,36.883441166999546,36.95460749999984,space,0.06356562500059226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h17.43.833,misty_module,,2025.2.4,74.86276718997432,2026-01-31 19h17.44.391336 +0000,
med2,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,36.9641854169995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.95991033300015,36.9641854169995,37.46261833300014,37.47268804199939,37.484750124999664,37.484750124999664,37.484750124999664,42.47305962500013,None,None,None,42.47331616700012,42.48511383299956,43.4745283329994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h17.43.833,misty_module,,2025.2.4,74.86276718997432,2026-01-31 19h17.44.391336 +0000,
med2,5,3,3,0,,,,space,0.45817745800013654,None,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4758999579999,43.48581304199979,43.48581304199979,43.95758904200011,space,0.45817745800013654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h17.43.833,misty_module,,2025.2.4,74.86276718997432,2026-01-31 19h17.44.391336 +0000,
hard,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,43.97112204199948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.96476370799974,43.97112204199948,44.462492999999995,44.47657945799983,44.48975037499986,44.48975037499986,44.48975037499986,49.47555508299956,None,None,None,49.47585416699985,49.4877867919995,50.47694154199962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h17.43.833,misty_module,,2025.2.4,74.86276718997432,2026-01-31 19h17.44.391336 +0000,
hard,5,4,4,0,,,,space,2.309456875000251,None,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.47830687499936,50.488498083000195,50.488498083000195,52.80165208299968,space,2.309456875000251,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h17.43.833,misty_module,,2025.2.4,74.86276718997432,2026-01-31 19h17.44.391336 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.80184737499985,52.80968337499962,53.812954250000075,53.80004800000006,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h17.43.833,misty_module,,2025.2.4,74.86276718997432,2026-01-31 19h17.44.391336 +0000,
