train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,new_ui.stopped,training_instructions.started,text_3.started,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,feedback.started,feedback_practice_1.started,feedback.stopped,next_block.started,text_4.started,key_resp_3.started,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,start_experiment.started,text_6.started,text_6.stopped,start_experiment.stopped,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,arrow.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,norm_arrow.stopped,sum_routine1.stopped,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,perf_feedback.started,text_5.started,key_resp_6.started,text_5.stopped,perf_feedback.stopped,experimental_trials.key_resp_6.keys,experimental_trials.key_resp_6.rt,experimental_trials.key_resp_6.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00605520799945225,0.011961457999859704,0.011961457999859704,1.526047290999486,l,1.3977345420007623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h20.13.319,misty_module,,2025.2.4,76.30655925124226,2026-01-31 19h20.13.865177 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52607587500097,1.5300959159994818,1.5300959159994818,1.8702780000003258,space,0.32560383300005924,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h20.13.319,misty_module,,2025.2.4,76.30655925124226,2026-01-31 19h20.13.865177 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8755127910008014,1.87822849999975,3.8707417500008887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h20.13.319,misty_module,,2025.2.4,76.30655925124226,2026-01-31 19h20.13.865177 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.878535957999702,3.8831844159994944,5.871093416000804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h20.13.319,misty_module,,2025.2.4,76.30655925124226,2026-01-31 19h20.13.865177 +0000,
med2,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,0,0,0,,,,,,,,,5.898721833000309,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8928391659992485,5.898721833000309,6.377807374999975,6.394961374999184,6.415261957999974,6.415261957999974,6.415261957999974,11.390615124999385,None,None,None,11.397926790999918,11.401837040999453,12.392116290999184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h20.13.319,misty_module,,2025.2.4,76.30655925124226,2026-01-31 19h20.13.865177 +0000,
med2,5,0,0,0,,,,space,23.817222458999822,None,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.393683833000978,12.40337958300006,12.40337958300006,36.23113299999932,space,23.817222458999822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h20.13.319,misty_module,,2025.2.4,76.30655925124226,2026-01-31 19h20.13.865177 +0000,
easy1,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,36.250292500000796,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.238081749999765,36.250292500000796,36.7357677910004,36.737994749999416,36.756174165999255,36.756174165999255,36.756174165999255,41.748278082999605,None,None,None,41.748551791000864,41.76062975000059,42.749789375000546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h20.13.319,misty_module,,2025.2.4,76.30655925124226,2026-01-31 19h20.13.865177 +0000,
easy1,5,1,1,0,,,,space,0.3263005839999096,None,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.751182250000056,42.76125474999935,42.76125474999935,43.09922933300004,space,0.3263005839999096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h20.13.319,misty_module,,2025.2.4,76.30655925124226,2026-01-31 19h20.13.865177 +0000,
med1,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,43.10863058299947,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.10495558299954,43.10863058299947,43.60502508299942,43.61652912499994,43.63293808299932,43.63293808299932,43.63293808299932,48.617835958000796,None,None,None,48.61812279100013,48.629793624999365,49.62070654099989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h20.13.319,misty_module,,2025.2.4,76.30655925124226,2026-01-31 19h20.13.865177 +0000,
med1,5,2,2,0,,,,space,0.35111029100153246,None,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.62213787499968,49.63045137500012,49.63045137500012,49.99573070800034,space,0.35111029100153246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h20.13.319,misty_module,,2025.2.4,76.30655925124226,2026-01-31 19h20.13.865177 +0000,
hard,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,3,3,4,0,0,0,0,,,,,,,,,50.00878250000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00274462500056,50.00878250000096,50.50104987499981,50.51430912499927,50.52955408299931,50.52955408299931,50.52955408299931,55.51344083299955,None,None,None,55.513722790999964,55.52567416599959,56.516300790999594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h20.13.319,misty_module,,2025.2.4,76.30655925124226,2026-01-31 19h20.13.865177 +0000,
hard,5,3,3,0,,,,space,0.8592649999991409,None,,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.517791500000385,56.526318541000364,56.526318541000364,57.39826004099996,space,0.8592649999991409,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h20.13.319,misty_module,,2025.2.4,76.30655925124226,2026-01-31 19h20.13.865177 +0000,
easy2,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,4,4,1,0,0,0,0,,,,,,,,,57.41144058300051,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.405403165999815,57.41144058300051,57.90380837500015,57.906303666000895,57.92585308299931,57.92585308299931,57.92585308299931,62.91599004099953,None,None,None,62.91624495799988,62.92852895800024,63.91750241599948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h20.13.319,misty_module,,2025.2.4,76.30655925124226,2026-01-31 19h20.13.865177 +0000,
