train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,feedback.started,feedback_practice_1.started,feedback.stopped,next_block.started,text_4.started,key_resp_3.started,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,start_experiment.started,text_6.started,text_6.stopped,start_experiment.stopped,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,arrow.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,norm_arrow.stopped,sum_routine1.stopped,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,perf_feedback.started,text_5.started,key_resp_6.started,text_5.stopped,perf_feedback.stopped,experimental_trials.key_resp_6.keys,experimental_trials.key_resp_6.rt,experimental_trials.key_resp_6.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006041125001502223,0.009046417000718066,0.009046417000718066,4.162432167000588,l,4.053471833000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h23.25.237,misty_module,,2025.2.4,74.87215579367094,2026-01-31 19h23.25.796692 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.162457584001459,4.1683129590001045,4.1683129590001045,4.721182209001199,space,0.5461844579986064,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h23.25.237,misty_module,,2025.2.4,74.87215579367094,2026-01-31 19h23.25.796692 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.728480625000884,4.731388500000321,6.730204209001386,6.718889084000693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h23.25.237,misty_module,,2025.2.4,74.87215579367094,2026-01-31 19h23.25.796692 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.725965209001515,6.730204209001386,8.746718417000011,8.719398750001346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h23.25.237,misty_module,,2025.2.4,74.87215579367094,2026-01-31 19h23.25.796692 +0000,
easy2,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,8.746718417000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74241904200062,8.746718417000011,9.225737167000261,9.241210584001237,9.261772167001254,9.261772167001254,9.261772167001254,14.238768834000439,None,None,None,14.246197709000626,14.249159042001338,15.240116083999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h23.25.237,misty_module,,2025.2.4,74.87215579367094,2026-01-31 19h23.25.796692 +0000,
easy2,5,0,0,0,,,,space,3.0750000410007488,None,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.241871500000343,15.251475959001255,15.251475959001255,18.337038417001168,space,3.0750000410007488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h23.25.237,misty_module,,2025.2.4,74.87215579367094,2026-01-31 19h23.25.796692 +0000,
med1,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0,0,0,0,,,,,,,,,18.355364834000284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.343966459000512,18.355364834000284,18.843970584001,18.85606929200003,18.873043792000317,18.873043792000317,18.873043792000317,23.85542600000008,None,None,None,23.855687291999857,23.86767412500012,24.856675917000757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h23.25.237,misty_module,,2025.2.4,74.87215579367094,2026-01-31 19h23.25.796692 +0000,
med1,5,1,1,0,,,,space,0.313137375000224,None,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.85785450000003,24.86831133400119,24.86831133400119,25.193138917000397,space,0.313137375000224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h23.25.237,misty_module,,2025.2.4,74.87215579367094,2026-01-31 19h23.25.796692 +0000,
hard,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,2,2,4,0,0,0,0,,,,,,,,,25.205091750000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.199753209000846,25.205091750000065,25.698675875000845,25.718583459,25.732491292001214,25.732491292001214,25.732491292001214,30.711280042,None,None,None,30.711560417001238,30.72347500000069,31.712510625000505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h23.25.237,misty_module,,2025.2.4,74.87215579367094,2026-01-31 19h23.25.796692 +0000,
hard,5,2,2,0,,,,space,0.4582676250010991,None,,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.713938417000463,31.72415416700096,31.72415416700096,32.196076000000176,space,0.4582676250010991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h23.25.237,misty_module,,2025.2.4,74.87215579367094,2026-01-31 19h23.25.796692 +0000,
med2,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,32.20802995900158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.20267437500115,32.20802995900158,32.70096241700048,32.71385325000119,32.72937558400008,32.72937558400008,32.72937558400008,37.713862667000285,None,None,None,37.71416175000013,37.7260489170003,38.715238417000364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h23.25.237,misty_module,,2025.2.4,74.87215579367094,2026-01-31 19h23.25.796692 +0000,
med2,5,3,3,0,,,,space,0.32272616700174694,None,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.71662158400068,38.72670400000061,38.72670400000061,39.05205787500017,space,0.32272616700174694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h23.25.237,misty_module,,2025.2.4,74.87215579367094,2026-01-31 19h23.25.796692 +0000,
easy1,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,0,4,4,0,0,0,0,0,,,,,,,,,39.06444425000154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.058753709001394,39.06444425000154,39.55701891700119,39.559065292000014,39.57674220900117,39.57674220900117,39.57674220900117,44.56958412499989,None,None,None,44.569862584001385,44.581878750001124,45.571280292000665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h23.25.237,misty_module,,2025.2.4,74.87215579367094,2026-01-31 19h23.25.796692 +0000,
easy1,5,4,4,0,,,,space,0.3451292080007988,None,,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.57277066700044,45.5823458750001,45.5823458750001,45.93331995900007,space,0.3451292080007988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h23.25.237,misty_module,,2025.2.4,74.87215579367094,2026-01-31 19h23.25.796692 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.93344804200024,45.942669709000256,46.947276625000086,46.93355329200131,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h23.25.237,misty_module,,2025.2.4,74.87215579367094,2026-01-31 19h23.25.796692 +0000,
