train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,key_resp.rt,key_resp.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,new_ui.started,text_2.started,new_ui.stopped,training_instructions.started,text_3.started,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,feedback.started,feedback_practice_1.started,feedback.stopped,next_block.started,text_4.started,next_block.stopped,start_experiment.started,text_6.started,start_experiment.stopped,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,arrow.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,sum_routine1.stopped,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,perf_feedback.started,text_5.started,key_resp_6.started,text_5.stopped,perf_feedback.stopped,experimental_trials.key_resp_6.keys,experimental_trials.key_resp_6.rt,experimental_trials.key_resp_6.duration,streak.count,time,time.coef,total.cor,trial.count,trial.outcome,trials_3.key_resp.rt,trials_3.key_resp.duration,feedback_practice_1.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006307083000137936,0.009341917000710964,0.009341917000710964,0.4716653329996916,l,0.3666355419991305,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h36.28.091,misty_module,,2025.2.4,75.32176516564195,2026-01-31 19h36.28.652869 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4716896669997368,0.4776997080007277,0.4776997080007277,0.7370767499996873,space,0.24827362500036543,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h36.28.091,misty_module,,2025.2.4,75.32176516564195,2026-01-31 19h36.28.652869 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.741095082999891,0.7490042919998814,2.739696292001099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h36.28.091,misty_module,,2025.2.4,75.32176516564195,2026-01-31 19h36.28.652869 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7455020420002256,2.749150499999814,4.740678583000772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h36.28.091,misty_module,,2025.2.4,75.32176516564195,2026-01-31 19h36.28.652869 +0000,
med2,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,0,0,0,,,,,,,,,4.766629792000458,,,,,,,,,,,,,,,,,,,,,,4.76236470799995,4.766629792000458,5.247186750000765,5.26499133300058,5.286386375000802,5.286386375000802,5.286386375000802,6.258517125001163,None,None,None,6.265375791999759,6.270810333000554,7.260262083000271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h36.28.091,misty_module,,2025.2.4,75.32176516564195,2026-01-31 19h36.28.652869 +0000,
med2,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.261844167000163,7.27234829200097,8.26177133300007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h36.28.091,misty_module,,2025.2.4,75.32176516564195,2026-01-31 19h36.28.652869 +0000,
hard,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,0,1,1,4,0,0,0,0,,,,,,,,,8.27207025000098,,,,,,,,,,,,,,,,,,,,,,8.268470625000191,8.27207025000098,8.768555042001026,8.783688083000015,8.798764041999675,8.798764041999675,8.798764041999675,9.780089042000327,None,None,None,9.780364958000064,9.792322250001234,10.78050679199987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h36.28.091,misty_module,,2025.2.4,75.32176516564195,2026-01-31 19h36.28.652869 +0000,
hard,5,1,1,0,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.781285000000935,10.792610458000127,11.783819333000793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h36.28.091,misty_module,,2025.2.4,75.32176516564195,2026-01-31 19h36.28.652869 +0000,
easy2,5,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,0,2,2,1,0,0,0,0,,,,,,,,,11.79452804200082,,,,,,,,,,,,,,,,,,,,,,11.790956832999655,11.79452804200082,12.290467500000887,12.299319542000376,12.316439125001125,12.316439125001125,12.316439125001125,13.301309958000274,None,None,None,13.301571750000221,13.313249250000808,14.302745541999684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h36.28.091,misty_module,,2025.2.4,75.32176516564195,2026-01-31 19h36.28.652869 +0000,
easy2,5,2,2,0,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.304069375000836,14.314287332999811,15.30474070800119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h36.28.091,misty_module,,2025.2.4,75.32176516564195,2026-01-31 19h36.28.652869 +0000,
