train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,new_ui.started,text_2.started,new_ui.stopped,training_instructions.started,text_3.started,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback.started,feedback_practice_1.started,feedback.stopped,next_block.started,text_4.started,next_block.stopped,feedback_practice_1.stopped,text_4.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005792250000013155,0.013801458000671118,0.013801458000671118,1.2976392910004506,l,1.1850434160005534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29766916600056,1.3015486250005779,1.3015486250005779,3.096197625000059,space,1.7913081249989773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1060257499993895,3.1125722500000848,5.1079611250006565,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.115576582998983,5.120277415999226,7.108695375000025,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
hard,5,0,0,0,None,None,3,0.45461066600000777,None,,,,,,,,,0,0,0,4,0,0,0,0,7.135371207999924,,,,,,,,,,,,,,,,,,,,,,7.131032040999344,7.135371207999924,7.602421333000166,7.625917082999877,7.6462296249992505,7.6462296249992505,7.6462296249992505,8.107406125000125,Incorrect!,None,None,3,0.45461066600000777,None,8.112235458000214,8.119147916000657,9.109178165999765,,,,,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
hard,5,1,0,1,None,None,4,0.35296104200097034,None,,,,,,,,,0,0,0,4,1,0,1,0,9.119829666000442,,,,,,,,,,,,,,,,,,,,,,9.109386000000086,9.119829666000442,9.616665125000509,9.630493332999322,9.64486583299913,9.64486583299913,9.64486583299913,10.001046082999892,Incorrect!,None,None,4,0.35296104200097034,None,10.00129829099933,10.013152375000573,11.002120458000718,,,,,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
hard,5,2,0,2,None,None,5,0.04805745900011971,None,,,,,,,,,0,0,0,4,2,0,2,0,11.013907041000493,,,,,,,,,,,,,,,,,,,,,,11.002315166000699,11.013907041000493,11.510607750000418,11.521963916000459,11.534759124999255,11.534759124999255,11.534759124999255,11.588598624999577,Incorrect!,None,None,5,0.04805745900011971,None,11.588872541000455,11.600450915999318,12.59098079099931,,,,,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
hard,5,3,0,3,None,None,None,,,,,,,,,,,0,0,0,4,3,0,3,0,12.60111866599982,,,,,,,,,,,,,,,,,,,,,,12.591207707999274,12.60111866599982,13.097700624999561,13.108756457999334,13.122195207999539,13.122195207999539,13.122195207999539,13.109501165999973,,None,None,None,,,13.118743499999255,13.122195207999539,14.110381832999337,,,,,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
hard,5,0,0,0,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.112148291000267,14.121643750000658,15.11219337500006,,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
easy2,5,0,0,0,None,None,4,0.8441374160011037,None,,,,,,,,,0,1,1,1,0,0,0,0,15.123517957999866,,,,,,,,,,,,,,,,,,,,,,15.120012499999575,15.123517957999866,15.61830395799916,15.62051429100029,15.637699208000413,15.637699208000413,15.637699208000413,16.48354387499967,Incorrect!,None,None,4,0.8441374160011037,None,16.48380370799896,16.49558133299979,17.48483541600035,,,,,,pilot,001,2026-01-31_19h44.53.422,misty_module,,2025.2.4,74.82619259762323,2026-01-31 19h44.53.967208 +0000,
