prac_diff,thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,slider_4.response,slider_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,train_diff,train_time,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fix.stopped,fixation.stopped,practice_trials.started,equation_practice_1.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,feedback_practice_1.started,feedback_practice_1.stopped,feedback.stopped,new_ui.started,text_2.started,key_resp_8.started,new_ui.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,practice_trials_2.started,prog_3.started,redbar_3.started,yellowbar_3.started,greenbar_3.started,arrow_3.started,arrow_4.started,targlab.started,yourperf.started,slider_4.started,key_resp_5.started,textbox_5.started,practice_trials_2.stopped,prac_trial2.slider_4.response,prac_trial2.slider_4.rt,prac_trial2.key_resp_5.keys,prac_trial2.key_resp_5.rt,prac_trial2.key_resp_5.duration,training_instructions.started,text_3.started,key_resp_9.started,training_instructions.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,next_block.started,text_4.started,key_resp_3.started,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,start_experiment.started,text_6.started,key_resp_7.started,start_experiment.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,targarrow.started,arrow.started,yourperfexp.started,tarlabexp.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,prog.stopped,redbar.stopped,yellowbar.stopped,greenbar.stopped,targarrow.stopped,arrow.stopped,yourperfexp.stopped,tarlabexp.stopped,textbox.stopped,slider.stopped,key_resp.stopped,norm_arrow.stopped,perf_feedback.started,text_5.started,key_resp_6.started,perf_feedback.stopped,experimental_trials.key_resp_6.keys,experimental_trials.key_resp_6.rt,experimental_trials.key_resp_6.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006820957991294563,0.011063624988310039,0.011063624988310039,4.222971333001624,l,4.2093562920053955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.223037832998671,4.230835415990441,4.230835415990441,4.7671011249913136,space,0.5335803749912884,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
easy1,0,0,0,None,None,s,0.9562005000043428,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,4.782085290993564,,,,,,,,,,,,,,,,,,,,,,4.774675874999957,4.782085290993564,5.3001802079961635,5.266549708001548,5.277229165993049,5.3001802079961635,5.3001802079961635,5.3001802079961635,6.258555415988667,None,None,s,0.9562005000043428,None,6.2634679159964435,6.2681502499908675,7.264261958000134,7.253783166001085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.253852665991872,7.264261958000134,7.264261958000134,7.7340160829917295,space,0.46609000000171363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
easy1,0,0,0,,,,,,None,None,s,0.5392264169931877,None,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,7.7500111249974,,,,,,,,,,,,,,,,,,,,,,7.739315375001752,7.7500111249974,,8.238086540994118,,,,,,,,,,,8.817803375000949,8.830434165996849,9.820772457998828,9.816186290991027,,,,,,,,8.248093124988372,8.272994124999968,8.272994124999968,8.272994124999968,8.272994124999968,8.272994124999968,8.272994124999968,8.272994124999968,8.272994124999968,8.272994124999968,8.272994124999968,8.272994124999968,8.817589332989883,None,None,s,0.5392264169931877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.81629437499214,9.820772457998828,9.820772457998828,10.302998874991317,space,0.47543187500559725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,0,0,0,,,,,,,,,,,easy2,60,None,None,s,0.2957473749993369,None,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,10.324832415994024,,,,,,,,,,,,,,,,,,,,,,10.319069416000275,10.324832415994024,,10.806524165993324,,,,,,,,,,,11.142846665999969,11.146787416000734,12.138232832992799,12.132554832991445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.815845290999277,10.838425832989742,10.838425832989742,10.838425832989742,11.142538374988362,Incorrect!,None,None,s,0.2957473749993369,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,0,0,0,,,,,,,,,,,easy2,60,,,,,,space,0.5879745419952087,None,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.13378845799889,12.138232832992799,12.138232832992799,12.733854790989426,space,0.5879745419952087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,0,0,0,,,,,,,,,,,med1,60,None,None,s,2.21234362499672,None,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0,0,0,0,,,,,,,,,12.744651749992045,,,,,,,,,,,,,,,,,,,,,,12.739104249994853,12.744651749992045,13.255696415988496,13.232747000001837,,,,,,,,,,,15.482181207989925,15.485658666002564,16.481048707995797,16.472258915993734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.240281457998208,13.255696415988496,13.255696415988496,13.255696415988496,15.481891040995833,Incorrect!,None,None,s,2.21234362499672,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,1,1,0,,,,,,,,,,,med1,60,,,,,,space,0.34704366700316314,None,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.473304040991934,16.481048707995797,16.481048707995797,16.833384332989226,space,0.34704366700316314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
