prac_diff,thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,slider_4.response,slider_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,train_diff,train_time,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fix.stopped,fixation.stopped,practice_trials.started,equation_practice_1.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,feedback_practice_1.started,feedback_practice_1.stopped,feedback.stopped,new_ui.started,text_2.started,key_resp_8.started,new_ui.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,practice_trials_2.started,prog_3.started,redbar_3.started,yellowbar_3.started,greenbar_3.started,arrow_3.started,arrow_4.started,targlab.started,yourperf.started,slider_4.started,key_resp_5.started,textbox_5.started,practice_trials_2.stopped,prac_trial2.slider_4.response,prac_trial2.slider_4.rt,prac_trial2.key_resp_5.keys,prac_trial2.key_resp_5.rt,prac_trial2.key_resp_5.duration,training_instructions.started,text_3.started,key_resp_9.started,training_instructions.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,next_block.started,text_4.started,key_resp_3.started,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,start_experiment.started,text_6.started,key_resp_7.started,start_experiment.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,targarrow.started,userArrow.started,yourperfexp.started,tarlabexp.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,prog.stopped,redbar.stopped,yellowbar.stopped,greenbar.stopped,targarrow.stopped,userArrow.stopped,yourperfexp.stopped,tarlabexp.stopped,textbox.stopped,slider.stopped,key_resp.stopped,norm_arrow.stopped,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007459166008629836,0.011893457995029166,0.011893457995029166,4.136999833004666,l,4.02437495799677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.137036208005156,4.144468790997053,4.144468790997053,4.3671804159967,space,0.22179512500588316,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
easy1,0,0,0,None,None,s,0.8570387500076322,None,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,4.381228250000277,,,,,,,,,,,,,,,,,,,,,,4.374182291008765,4.381228250000277,4.901152082995395,4.866783916004351,4.878875166003127,4.901152082995395,4.901152082995395,4.901152082995395,5.767765875003533,None,None,s,0.8570387500076322,None,5.772005207996699,5.781110333002289,6.771254082996165,6.766510832996573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.766616875000182,6.771254082996165,6.771254082996165,8.772615249996306,space,1.9998879170016153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
easy1,0,0,0,,,,,,None,None,s,0.06363391599734314,None,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,8.784761250004522,,,,,,,,,,,,,,,,,,,,,,8.778181500005303,8.784761250004522,9.308444041002076,9.271949333007797,,,,,,,,,,,9.382092540996382,9.385569332996965,10.381148665997898,10.372819124997477,,,,,,,,9.282851458003279,9.308444041002076,9.308444041002076,9.308444041002076,9.308444041002076,9.308444041002076,9.308444041002076,9.308444041002076,9.308444041002076,9.308444041002076,9.308444041002076,9.308444041002076,9.381857290994958,None,None,s,0.06363391599734314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.372909790996346,10.381148665997898,10.381148665997898,12.017338040997856,space,1.634884040991892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,0,0,0,,,,,,,,,,,easy1,60,None,None,s,0.4078200419899076,None,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,12.038926125009311,,,,,,,,,,,,,,,,,,,,,,12.032064875005744,12.038926125009311,,12.518332999999984,,,,,,,,,,,12.965817208008957,12.970611041004304,13.964479250003933,13.955644458008464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.520206000001053,12.546155125004589,12.546155125004589,12.546155125004589,12.965536540999892,Incorrect!,None,None,s,0.4078200419899076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,0,0,0,,,,,,,,,,,easy1,60,,,,,,space,1.1074972500064177,None,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.956914374997723,13.964479250003933,13.964479250003933,15.072769499995047,space,1.1074972500064177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,0,0,0,,,,,,,,,,,hard,60,None,None,s,2.751418959000148,None,,,,,,,,,,,,,,,,,,0,1,1,4,0,0,0,0,,,,,,,,,15.08318058300938,,,,,,,,,,,,,,,,,,,,,,15.07767633300682,15.08318058300938,15.599407875008183,15.572667000000365,,,,,,,,,,,18.35642079099489,18.36379379099526,19.354265832997044,19.349290124999243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.585374916001456,15.599407875008183,15.599407875008183,15.599407875008183,18.35612808300357,Incorrect!,None,None,s,2.751418959000148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,1,1,0,,,,,,,,,,,hard,60,,,,,,space,0.3935658330010483,None,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.350327958003618,19.354265832997044,19.354265832997044,19.750366041000234,space,0.3935658330010483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,0,0,0,,,,,,,,,,,easy2,60,None,None,s,0.2660375420091441,None,,,,,,,,,,,,,,,,,,0,2,2,1,0,0,0,0,,,,,,,,,19.760288791003404,,,,,,,,,,,,,,,,,,,,,,19.75560316600604,19.760288791003404,,20.250647791006486,,,,,,,,,,,20.548506624996662,20.553118750001886,21.547895041003358,21.53957354099839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.258589582997956,20.27372362499591,20.27372362499591,20.27372362499591,20.548194165996392,Incorrect!,None,None,s,0.2660375420091441,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
