prac_diff,thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,slider_4.response,slider_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,train_diff,train_time,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fixation.stopped,practice_trials.started,equation_practice_1.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,feedback_practice_1.started,feedback.stopped,new_ui.started,text_2.started,key_resp_8.started,new_ui.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,fix.stopped,practice_trials_2.started,prog_3.started,redbar_3.started,yellowbar_3.started,greenbar_3.started,arrow_3.started,arrow_4.started,targlab.started,yourperf.started,slider_4.started,key_resp_5.started,textbox_5.started,practice_trials_2.stopped,prac_trial2.slider_4.response,prac_trial2.slider_4.rt,prac_trial2.key_resp_5.keys,prac_trial2.key_resp_5.rt,prac_trial2.key_resp_5.duration,feedback_practice_1.stopped,training_instructions.started,text_3.started,key_resp_9.started,training_instructions.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,next_block.started,text_4.started,key_resp_3.started,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,start_experiment.started,text_6.started,key_resp_7.started,start_experiment.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,targarrow.started,userArrow.started,yourperfexp.started,tarlabexp.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,perf_feedback.started,text_5.started,key_resp_6.started,perf_feedback.stopped,experimental_trials.key_resp_6.keys,experimental_trials.key_resp_6.rt,experimental_trials.key_resp_6.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007418459004838951,0.011176083993632346,0.011176083993632346,4.610523916999227,l,4.496192791993963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.610551334000775,4.618045249997522,4.618045249997522,5.1602939589938615,space,0.533298083988484,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
easy1,0,0,0,None,None,s,0.34175604200572707,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,5.1737165420054225,,,,,,,,,,,,,,,,,,,,,,5.167641209001886,5.1737165420054225,5.663438709001639,5.675463209001464,5.697525541996583,5.697525541996583,5.697525541996583,6.041760124993743,None,None,s,0.34175604200572707,None,6.0463978339976165,6.054558874995564,7.07114458399883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.071214583993424,7.075165208996623,7.075165208996623,7.808465833993978,space,0.7281472079921514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
easy1,0,0,0,,,,,,None,None,s,0.5450936670094961,None,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,7.820346958993468,,,,,,,,,,,,,,,,,,,,,,7.814096583999344,7.820346958993468,8.307512999992468,,,,,,,,,,,8.892004167006235,8.905014459000085,9.89030549999734,,,,,,,,8.342863792000571,8.316247708993615,8.342863792000571,8.342863792000571,8.342863792000571,8.342863792000571,8.342863792000571,8.342863792000571,8.342863792000571,8.342863792000571,8.342863792000571,8.342863792000571,8.342863792000571,8.891789083994809,None,None,s,0.5450936670094961,None,9.894674166993354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.890393666995806,9.894674166993354,9.894674166993354,10.408097958992585,space,0.5075800829945365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,0,0,0,,,,,,,,,,,easy2,60,None,None,s,1.0754869999946095,None,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,10.42906700000458,,,,,,,,,,,,,,,,,,,,,,10.423271292005666,10.42906700000458,10.909420916999807,,,,,,,,,,,12.025891084005707,12.038423167003202,13.023756459006108,,,,,,,,,,,,,,,,,,,,,,,,,,,13.029632666992256,,,,,,,,10.918306834006216,10.940529125000467,10.940529125000467,10.940529125000467,12.025593750004191,Incorrect!,None,None,s,1.0754869999946095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,0,0,0,,,,,,,,,,,easy2,60,,,,,,space,0.3254236250068061,None,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.02517712500412,13.029632666992256,13.029632666992256,13.357970917000785,space,0.3254236250068061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,0,0,0,,,,,,,,,,,easy1,60,None,None,s,0.4407639580022078,None,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,13.369095709000248,,,,,,,,,,,,,,,,,,,,,,13.363372916996013,13.369095709000248,13.857379167006002,,,,,,,,,,,14.323179708997486,14.326746209000703,15.313359749998199,,,,,,,,13.880221041996265,,,,,,,,,,,,,,,,,,,15.322289916992304,,,,,,,,13.864716291995137,13.880221041996265,13.880221041996265,13.880221041996265,14.32288991700625,Incorrect!,None,None,s,0.4407639580022078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,1,1,0,,,,,,,,,,,easy1,60,,,,,,space,0.32979579200036824,None,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.314449041994521,15.322289916992304,15.322289916992304,15.657903750005062,space,0.32979579200036824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
