prac_diff,thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,slider_4.response,slider_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,train_diff,train_time,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fix.stopped,fixation.stopped,practice_trials.started,equation_practice_1.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,feedback_practice_1.started,feedback.stopped,new_ui.started,text_2.started,key_resp_8.started,new_ui.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,practice_trials_2.started,prog_3.started,redbar_3.started,yellowbar_3.started,greenbar_3.started,arrow_3.started,arrow_4.started,targlab.started,yourperf.started,slider_4.started,key_resp_5.started,textbox_5.started,practice_trials_2.stopped,prac_trial2.slider_4.response,prac_trial2.slider_4.rt,prac_trial2.key_resp_5.keys,prac_trial2.key_resp_5.rt,prac_trial2.key_resp_5.duration,training_instructions.started,text_3.started,key_resp_9.started,training_instructions.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback_practice_1.stopped,next_block.started,text_4.started,key_resp_3.started,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,start_experiment.started,text_6.started,key_resp_7.started,start_experiment.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,targarrow.started,userArrow.started,yourperfexp.started,tarlabexp.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,perf_feedback.started,text_5.started,key_resp_6.started,perf_feedback.stopped,experimental_trials.key_resp_6.keys,experimental_trials.key_resp_6.rt,experimental_trials.key_resp_6.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014576167013728991,0.019705750004504807,0.019705750004504807,0.4290273340011481,l,0.30092508300731424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42905641700781416,0.43787858400901314,0.43787858400901314,0.7841172500047833,space,0.3391502919985214,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
easy1,0,0,0,None,None,s,0.41516645898809657,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,0.797421209004824,,,,,,,,,,,,,,,,,,,,,,0.791340667012264,0.797421209004824,1.317824459008989,1.2837221670051804,1.2957144170068204,1.317824459008989,1.317824459008989,1.317824459008989,1.7411757090012543,None,None,s,0.41516645898809657,None,1.7460632920119679,1.7513255000085337,2.741870542013203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.741981584011228,2.7468049590097507,2.7468049590097507,3.0453756670031,space,0.28611983299197163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
easy1,0,0,0,,,,,,None,None,s,0.3897874170070281,None,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,3.057090292000794,,,,,,,,,,,,,,,,,,,,,,3.0513217500119936,3.057090292000794,3.5781083750043763,3.5422170420060866,,,,,,,,,,,3.974775624999893,3.981555250007659,4.974874084000476,,,,,,,,3.551165500000934,3.5781083750043763,3.5781083750043763,3.5781083750043763,3.5781083750043763,3.5781083750043763,3.5781083750043763,3.5781083750043763,3.5781083750043763,3.5781083750043763,3.5781083750043763,3.5781083750043763,3.9745471670030383,None,None,s,0.3897874170070281,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.974971709001693,4.979559667001013,4.979559667001013,5.481136250004056,space,0.49736937499255873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,0,0,0,,,,,,,,,,,easy2,60,None,None,s,0.8589495000051102,None,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,5.500606167013757,,,,,,,,,,,,,,,,,,,,,,5.494747459000791,5.500606167013757,,5.993226667007548,,,,,,,,,,,6.893833250011085,6.90639841700613,7.891647042008117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.002911542003858,6.0248024169995915,6.0248024169995915,6.0248024169995915,6.893514625000535,Incorrect!,None,None,s,0.8589495000051102,None,7.897748250004952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,0,0,0,,,,,,,,,,,easy2,60,,,,,,space,1.4051020000042627,None,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.893177625010139,7.897748250004952,7.897748250004952,9.309777250004117,space,1.4051020000042627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,0,0,0,,,,,,,,,,,easy1,60,None,None,s,0.4929421669949079,None,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,9.320934084011242,,,,,,,,,,,,,,,,,,,,,,9.314810584008228,9.320934084011242,9.82771304200287,9.808726500006742,,,,,,,,,,,10.327267500004382,10.339561917004175,11.324907375004841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.810600250013522,9.82771304200287,9.82771304200287,9.82771304200287,10.326979667006526,Incorrect!,None,None,s,0.4929421669949079,None,11.330204625002807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,1,1,0,,,,,,,,,,,easy1,60,,,,,,space,0.410450708004646,None,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.325941584000248,11.330204625002807,11.330204625002807,11.744394209003076,space,0.410450708004646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
