prac_diff,thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,slider_4.response,slider_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,train_diff,train_time,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fixation.stopped,practice_trials.started,equation_practice_1.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,feedback_practice_1.started,feedback_practice_1.stopped,feedback.stopped,new_ui.started,text_2.started,key_resp_8.started,new_ui.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,fix.stopped,practice_trials_2.started,prog_3.started,redbar_3.started,yellowbar_3.started,greenbar_3.started,arrow_3.started,arrow_4.started,targlab.started,yourperf.started,slider_4.started,key_resp_5.started,textbox_5.started,practice_trials_2.stopped,prac_trial2.slider_4.response,prac_trial2.slider_4.rt,prac_trial2.key_resp_5.keys,prac_trial2.key_resp_5.rt,prac_trial2.key_resp_5.duration,training_instructions.started,text_3.started,key_resp_9.started,training_instructions.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,next_block.started,text_4.started,key_resp_3.started,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,start_experiment.started,text_6.started,key_resp_7.started,start_experiment.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,targarrow.started,userArrow.started,yourperfexp.started,tarlabexp.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,prog.stopped,redbar.stopped,yellowbar.stopped,greenbar.stopped,targarrow.stopped,userArrow.stopped,yourperfexp.stopped,tarlabexp.stopped,textbox.stopped,slider.stopped,key_resp.stopped,norm_arrow.stopped,perf_feedback.started,text_5.started,key_resp_6.started,perf_feedback.stopped,experimental_trials.key_resp_6.keys,experimental_trials.key_resp_6.rt,experimental_trials.key_resp_6.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011264625005424023,0.09078216600755695,0.09078216600755695,0.29932141600875184,l,0.20540312500088476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2993780830001924,0.3106819579988951,0.3106819579988951,0.6795067909988575,space,0.360451667002053,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
easy1,0,0,0,None,None,s,1.044068833012716,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,0.6945594160060864,,,,,,,,,,,,,,,,,,,,,,0.6872766660089837,0.6945594160060864,1.1831006660067942,1.1952077080059098,1.2170292080118088,1.2170292080118088,1.2170292080118088,2.2694362080073915,None,None,s,1.044068833012716,None,2.274000833000173,2.27767679101089,3.2750293749995762,3.2645528749999357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.264638416003436,3.2750293749995762,3.2750293749995762,3.6447477910114685,space,0.361296625007526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
easy1,0,0,0,,,,,,None,None,s,0.26690316598978825,None,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,3.6565561660099775,,,,,,,,,,,,,,,,,,,,,,3.65013245800219,3.6565561660099775,4.143674916005693,,,,,,,,,,,4.452354375011055,4.457090500000049,5.447945625011926,5.4433354580105515,,,,,,,,4.180108625005232,4.154111208001268,4.180108625005232,4.180108625005232,4.180108625005232,4.180108625005232,4.180108625005232,4.180108625005232,4.180108625005232,4.180108625005232,4.180108625005232,4.180108625005232,4.180108625005232,4.452143500006059,None,None,s,0.26690316598978825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.443439082999248,5.447945625011926,5.447945625011926,5.744174416002352,space,0.28922616700583603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,0,0,0,,,,,,,,,,,easy2,60,None,None,s,0.27525904099456966,None,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,5.765377125004306,,,,,,,,,,,,,,,,,,,,,,5.759751375007909,5.765377125004306,6.249153708005906,,,,,,,,,,,6.559504666001885,6.564145583004574,7.558118875007494,7.549851708012284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.257035791000817,6.279874875006499,6.279874875006499,6.279874875006499,6.559221166011412,Incorrect!,None,None,s,0.27525904099456966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,0,0,0,,,,,,,,,,,easy2,60,,,,,,space,0.504855665989453,None,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.551272500000778,7.558118875007494,7.558118875007494,8.066822375010815,space,0.504855665989453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,0,0,0,,,,,,,,,,,hard,60,None,None,s,0.9414360410009976,None,,,,,,,,,,,,,,,,,,,,,0,1,1,4,0,0,0,0,,,,,,,,,8.077469416006352,,,,,,,,,,,,,,,,,,,,,,8.071804791004979,8.077469416006352,8.566209416007041,,,,,,,,,,,9.534328666006331,9.540828625002177,10.531698165999842,10.526636541006155,,,,,,,,8.590527083011693,,,,,,,,,,,,,,,,,,,,,,,,,,8.576850666009705,8.590527083011693,8.590527083011693,8.590527083011693,9.534061833008309,Incorrect!,None,None,s,0.9414360410009976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,1,1,0,,,,,,,,,,,hard,60,,,,,,space,0.3151947919977829,None,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.527727541004424,10.531698165999842,10.531698165999842,10.864061416010372,space,0.3151947919977829,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
