exp_diff,exp_time,diffbyt,thisN,thisTrialN,thisRepN,slider.response,slider.rt,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,fixation.started,fix.started,fixation.stopped,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,targarrow.started,userArrow.started,yourperfexp.started,tarlabexp.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trial.outcome,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,trials_3.key_resp.rt,trials_3.key_resp.duration,feedback.started,feedback_practice_1.started,feedback_practice_1.stopped,feedback.stopped,fix.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
easy2,120,4.0,0,0,0,None,None,2,3.1016104579903185,None,,,,,0,0,0,1,0,0,0,0,0.02054225000028964,,0.01403075001144316,0.02054225000028964,0.5069707920047222,0.5201145419996465,0.546118917001877,0.546118917001877,0.546118917001877,0.546118917001877,0.546118917001877,0.546118917001877,0.546118917001877,0.546118917001877,0.546118917001877,0.546118917001877,0.546118917001877,0.546118917001877,3.7351260840077884,0,0.9,0.9,0,0,Correct!,None,None,2,3.1016104579903185,None,3.7393980839988217,3.7446360840112902,4.738063500000862,4.729553584009409,,pilot,001,2026-02-04_13h52.42.876,misty_module,,2025.2.4,None,2026-02-04 13h52.43.488229 +0000,
easy2,120,4.0,1,0,1,None,None,0,4.035658082008013,None,,,,,0,0,0,1,1,0,1,0,4.738063500000862,,4.729707459002384,4.738063500000862,5.22338504200161,5.234373667000909,5.301417875001789,5.301417875001789,5.301417875001789,5.301417875001789,5.301417875001789,5.301417875001789,5.301417875001789,5.301417875001789,5.301417875001789,5.301417875001789,5.301417875001789,5.301417875001789,9.341344875007053,1,0.9,0.9,1,1,Correct!,None,None,0,4.035658082008013,None,9.341560167013085,9.353683417008142,10.343701709003653,10.339630292000948,5.301417875001789,pilot,001,2026-02-04_13h52.42.876,misty_module,,2025.2.4,None,2026-02-04 13h52.43.488229 +0000,
easy2,120,4.0,2,0,2,None,None,6,3.4568953330017393,None,,,,,0,0,0,1,2,0,2,0,10.343701709003653,,10.339789417004795,10.343701709003653,10.830720124999061,10.839716667003813,10.858764167001937,10.858764167001937,10.858764167001937,10.858764167001937,10.858764167001937,10.858764167001937,10.858764167001937,10.858764167001937,10.858764167001937,10.858764167001937,10.858764167001937,10.858764167001937,14.32190012501087,2,0.9,0.9,2,2,Incorrect!,None,None,6,3.4568953330017393,None,14.324542417001794,14.32909166700847,,15.322929959002067,10.858764167001937,pilot,001,2026-02-04_13h52.42.876,misty_module,,2025.2.4,None,2026-02-04 13h52.43.488229 +0000,
easy2,120,4.0,3,0,3,None,None,3,8.077429416007362,None,,,,,0,0,0,1,3,0,3,0,15.327138625012594,,15.323096584004816,15.327138625012594,15.81173095900158,15.82046708400594,15.838249625012395,15.838249625012395,15.838249625012395,15.838249625012395,15.838249625012395,15.838249625012395,15.838249625012395,15.838249625012395,15.838249625012395,15.838249625012395,15.838249625012395,15.838249625012395,23.925639125009184,-1,0.9,0.9,2,3,Correct!,None,None,3,8.077429416007362,None,23.925848459010012,23.936889917007647,24.92693933400733,24.922774042002857,15.838249625012395,pilot,001,2026-02-04_13h52.42.876,misty_module,,2025.2.4,None,2026-02-04 13h52.43.488229 +0000,
easy2,120,4.0,4,0,4,None,None,9,5.375196040986339,None,,,,,0,0,0,1,4,0,4,0,24.92693933400733,,24.922923500009347,24.92693933400733,25.412404875009088,25.41565387501032,25.435274375005974,25.435274375005974,25.435274375005974,25.435274375005974,25.435274375005974,25.435274375005974,25.435274375005974,25.435274375005974,25.435274375005974,25.435274375005974,25.435274375005974,25.435274375005974,30.820892042000196,0,0.9,0.9,3,4,Correct!,None,None,9,5.375196040986339,None,30.82109470901196,30.824094792013057,31.820956417010166,31.811977000004845,25.435274375005974,pilot,001,2026-02-04_13h52.42.876,misty_module,,2025.2.4,None,2026-02-04 13h52.43.488229 +0000,
easy2,120,4.0,5,0,5,None,None,0,9.854359832010232,None,,,,,0,0,0,1,5,0,5,0,31.820956417010166,,31.81210741700488,31.820956417010166,32.307531250000466,32.31067904199881,32.33031075001054,32.33031075001054,32.33031075001054,32.33031075001054,32.33031075001054,32.33031075001054,32.33031075001054,32.33031075001054,32.33031075001054,32.33031075001054,32.33031075001054,32.33031075001054,42.1883077500097,1,0.9,0.9,4,5,Incorrect!,None,None,0,9.854359832010232,None,42.188512459004414,42.191910209003254,43.18755654200504,43.17865875001007,32.33031075001054,pilot,001,2026-02-04_13h52.42.876,misty_module,,2025.2.4,None,2026-02-04 13h52.43.488229 +0000,
easy2,120,4.0,6,0,6,None,None,None,,,,,,,0,0,0,1,6,0,6,0,43.18755654200504,,43.17880804200831,43.18755654200504,43.673753667011624,43.67719458400097,43.696883209006046,43.696883209006046,43.696883209006046,43.696883209006046,43.696883209006046,43.696883209006046,43.696883209006046,43.696883209006046,43.696883209006046,43.696883209006046,43.696883209006046,43.696883209006046,53.674554459008505,-1,0.9,0.9,4,6,Time-Out!,None,None,None,,,53.678568959003314,53.686494375011534,54.6763517090003,54.672122417003266,43.696883209006046,pilot,001,2026-02-04_13h52.42.876,misty_module,,2025.2.4,None,2026-02-04 13h52.43.488229 +0000,
easy2,120,4.0,7,0,7,None,None,None,,,,,,,0,0,0,1,7,0,7,0,54.6763517090003,,54.67225479200715,54.6763517090003,55.162627875004546,55.171044084010646,55.1881780840049,55.1881780840049,55.1881780840049,55.1881780840049,55.1881780840049,55.1881780840049,55.1881780840049,55.1881780840049,55.1881780840049,55.1881780840049,55.1881780840049,55.1881780840049,65.16337116700015,-1,0.9,0.9,4,7,Time-Out!,None,None,None,,,65.16357995900034,65.16985616700549,66.15942362500937,66.15524470900709,55.1881780840049,pilot,001,2026-02-04_13h52.42.876,misty_module,,2025.2.4,None,2026-02-04 13h52.43.488229 +0000,
easy2,120,4.0,8,0,8,None,None,None,,,,,,,0,0,0,1,8,0,8,0,66.15942362500937,,66.15538625000045,66.15942362500937,66.64617237501079,66.64919562501018,66.67353212500166,66.67353212500166,66.67353212500166,66.67353212500166,66.67353212500166,66.67353212500166,66.67353212500166,66.67353212500166,66.67353212500166,66.67353212500166,66.67353212500166,66.67353212500166,76.64737645900459,-1,0.9,0.9,4,8,Time-Out!,None,None,None,,,76.64757700001064,76.65255108400015,77.64211225000327,77.63828254200052,66.65306308399886,pilot,001,2026-02-04_13h52.42.876,misty_module,,2025.2.4,None,2026-02-04 13h52.43.488229 +0000,
,,,9,0,9,,,,,,,,,,,,,,9,0,9,0,77.64211225000327,,77.63840362500923,77.64211225000327,78.14099445901229,78.14463012501074,78.16467875000671,78.16467875000671,78.16467875000671,78.16467875000671,78.16467875000671,78.16467875000671,78.16467875000671,78.16467875000671,78.16467875000671,78.16467875000671,78.16467875000671,78.16467875000671,,,,,,,,,,,,,,,,,78.16467875000671,,,,,,,,,
